"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
-0.001593596,-0.10008727,0.057715054,-0.031396895,0.092215179,0.0163787,0.090053898,0.019398278,0.0037288836,-0.0072113827,-0.01703254,0.011920329,0.068475978,0.14264521,33,2
-0.010826921,-0.10750467,0.0088596021,-0.032622977,0.12041511,0.0056646204,-0.057691801,0.16301814,-0.0069646404,0.058816744,-0.013618769,0.007365985,0.17475507,0.19724817,34,2
-0.010274883,-0.15447174,0.068060462,-0.0085783563,0.11472941,0.11620634,0.14588224,0.12510727,0.0054940161,0.026432889,-0.027339863,0.014761802,-0.10444352,0.18656046,35,2
-0.0040375032,-0.079649893,0.020167406,-0.041367259,0.14007003,0.017803069,0.050757838,0.13358733,-0.0037002139,1.7634158e-05,-0.0023342513,0.0051506255,0.058485421,0.17311894,36,2
-0.0071546839,-0.098615788,0.025302609,-0.055401656,0.1982762,0.040997319,0.042045092,0.25307488,-0.0041313577,-0.13312375,0.0032970073,0.0088918927,0.080398536,0.18584057,37,2
-0.0078531206,-0.15679012,0.057696563,0.025919934,0.15119847,-0.12878198,0.071544833,0.081592764,0.0029592881,0.078283722,-0.020486188,0.006279438,-0.039644111,0.25591793,38,2
-0.0051816195,-0.14432238,0.050527406,0.037065045,0.2024962,-0.093245066,0.11702228,0.0018551192,0.0011434289,0.1043315,-0.023398584,0.018241342,-0.11280903,0.28828489,39,2
-0.0054993703,-0.1024916,0.030574711,-0.038379337,0.085237902,0.087575681,0.037539185,0.11674577,0.0022273421,-0.072002821,-0.033705766,0.016315575,0.083844643,0.080411892,40,2
-0.0075333688,-0.10194181,0.041084002,-0.032947494,0.064064814,-0.029344019,0.019537322,0.021807518,-0.00085625448,0.22025924,0.0016129974,0.0010652751,0.064251505,0.20103717,41,2
-0.0062302899,-0.080070642,0.032450177,-0.0095175273,0.16939623,-0.096798268,-0.057283197,-0.021218817,0.0038922263,0.11587897,-0.02974856,0.024689762,0.097320369,0.25363731,42,2
0.001118905,-0.1656674,0.023569107,-0.0218081,0.21420867,0.056760277,0.0087261096,-0.024880639,-0.0047948531,0.14026378,-0.035183647,0.012365542,0.040046768,0.29508904,43,2
-0.016332897,-0.089468365,0.021075894,0.01244954,0.19232715,0.21362687,0.13432656,0.08224944,0.010978784,0.084888392,-0.013186802,0.020460912,0.037640198,0.11039631,44,2
-0.0098144758,-0.11199063,0.0623246,-0.043043155,0.063109151,-0.048650971,-0.031576146,0.10962095,-0.0020907926,-0.016925543,-0.0088391149,0.02230652,0.14152883,0.14067105,45,2
-0.0085109663,-0.064263817,0.040437039,-0.0080780199,0.11383045,-0.050055447,0.032376661,0.067556208,0.0066106316,0.047817491,-0.013570081,0.0027286859,0.049225165,0.2186703,46,2
0.002345988,-0.13785345,0.047466554,-0.013650479,0.030536591,0.07151917,0.12040591,0.08028461,-0.00088514972,-0.00290365,-0.014254012,0.0113256,0.065385772,0.079613445,47,2
-0.017975736,-0.10210143,0.046287755,-0.0086452229,0.058570778,-0.022666909,0.051782823,-0.0094273086,-0.0016471545,0.054594355,-0.0066637863,0.0034718186,0.13777955,0.13385463,48,2
-0.011513336,-0.095451068,0.014024918,-0.031039456,0.075499535,0.098538414,-0.0033525265,0.12673599,-0.0049456419,-0.019570298,-0.01558451,0.010287459,0.083550723,0.018715275,49,2
0.00049515758,-0.091310659,0.061362201,-0.020630663,0.038732295,0.079090679,0.16254288,0.030255919,0.0020924336,0.068284724,-0.0050536262,0.016872596,0.056246456,0.077899993,50,2
-0.0010538306,-0.14047522,0.015232127,-0.013822947,-0.011104849,-0.0071564249,0.0095849412,0.14162874,0.001377254,0.068169955,-0.026726755,0.0099287865,0.022696185,0.17085251,51,2
