"cv_fold","n_observations","coverage_95","mean_abs_residual","rmse"
0,315,90.1587301587302,0.0788634026412842,0.0902835816437602
1,252,100,0.0329027913550029,0.0404414434344475
2,252,97.2222222222222,0.0466907606305467,0.0565912885701913
3,252,100,0.0462689401995453,0.0551362597224745
4,252,100,0.0475982193579956,0.0575766976878799
5,252,100,0.0345828161490119,0.0414310162776855
