"sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59","sample_60","sample_61","sample_62","sample_63","sample_64","sample_65","sample_66","sample_67","sample_68","sample_69","sample_70","sample_71","sample_72","sample_73","sample_74","sample_75","sample_76","sample_77","sample_78","sample_79","sample_80","sample_81","sample_82","sample_83","sample_84","sample_85","sample_86","sample_87","sample_88","sample_89","sample_90","sample_91","sample_92","sample_93","sample_94","sample_95","sample_96","sample_97","sample_98","sample_99","sample_100","observation_id","y_true","cv_fold"
0.120027169807272,0.0915051553441319,0.0884803143758487,0.0900316945275486,0.136550783369799,0.11726780643611,0.153226023258919,0.108509176353285,0.148536501816885,0.0921383874191022,0.128745582958502,0.0661657130814549,0.118057694415254,0.0804757958736851,0.0932505850878374,0.142451151396044,0.0652443320587227,0.103154698170659,0.0838914700412694,0.115968519784435,0.0685976229125595,0.109679044340333,0.0800073776337572,0.079642266288679,0.151071375773168,0.0736413078445717,0.100487193420865,0.0988649462542538,0.0866958611812167,0.125384592678145,0.116715200628366,0.133127556722824,0.10545239522222,0.120110011634992,0.215302107567691,0.0664374415098448,0.117439306628639,0.122423068743299,0.140689172254116,0.152565698859961,0.0703511698780225,0.213402252885462,0.093812145406514,0.159578619030529,0.104479203737611,0.13892539350424,0.0853439446007431,0.147150929608929,0.074223323624263,0.120155854163116,0.0991613804909537,0.128260286298299,0.0777592278812213,0.102503792208626,0.0974768699645097,0.175747081233709,0.0910749039440546,0.0858818512242004,0.137425923175365,0.0625808378777437,0.080363417984929,0.114162019958517,0.114339257106092,0.103037505131709,0.103435222428435,0.10953780571576,0.144803068577941,0.0629347524515789,0.137809719484443,0.0969616834968345,0.100305990234992,0.0907652589588988,0.0475510064762661,0.0967060291515921,0.0908180322280984,0.0708168171069542,0.0874945222424586,0.110938265086483,0.093462382306424,0.108575099445136,0.0775283906088418,0.143964439100261,0.104169550469644,0.105234752298932,0.0467219833281591,0.105068129585214,0.108132186757675,0.176296180289005,0.0924998423219121,0.0752984699511613,0.133861331088392,0.0929338019891844,0.107543994871562,0.108060832494692,0.0741395083502276,0.0981700232423873,0.218658527707113,0.127855667398241,0.0952745589584131,0.106919367035725,1,0.177457157951481,2
0.120311093034945,0.0948124869078879,0.0837085628940059,0.0895980050494419,0.144764968669787,0.109190707833359,0.143131987693065,0.100959730292389,0.152187498655072,0.0967717217832274,0.122640028394244,0.069990368683548,0.119314354723853,0.0830177404931856,0.0914180121948116,0.143316078577633,0.0625272165313254,0.106679148030225,0.0823741698518525,0.117884819061676,0.0671611505123463,0.109499059373123,0.0803638392452291,0.0814437758862142,0.15100128833991,0.0756835541754395,0.0995686204388472,0.104161656009621,0.0827136992374989,0.122719318949682,0.118469882008567,0.134198374559826,0.104266314532713,0.118698879470194,0.215400721482985,0.0717197644987278,0.118104775230185,0.127151223913402,0.138166799706396,0.146507679207253,0.0677974206608461,0.204318764881463,0.0968500492216597,0.148122285873878,0.107139148927654,0.141616848811776,0.0874048325218723,0.14457443325851,0.078965387022529,0.121761562395307,0.10217883848362,0.129202963249125,0.077511027882836,0.0993220729680809,0.093186241812626,0.177470084021715,0.0924304527269024,0.0880296571476333,0.13194796737074,0.0652494247006109,0.0852572594888006,0.11293037457771,0.114191360780798,0.105749788190365,0.105635719297414,0.110210210163041,0.143193848810159,0.0679511413113764,0.141305002443449,0.0959196220198494,0.10578483029702,0.0909690833442838,0.0499074694736309,0.100083702080602,0.0842167405488489,0.0734260555628639,0.0942058919109813,0.10777175199381,0.0895519285703138,0.111317950137441,0.0736695210709776,0.133004894862017,0.106883717192882,0.102492109209295,0.0468812273750766,0.109971474881818,0.104385172596094,0.167357825445749,0.091689884067217,0.0752730524869906,0.132160648720495,0.0909575813037723,0.111591656398036,0.101349177047879,0.0722541072295331,0.093309468890869,0.214512673957872,0.126227148144362,0.0936948019716687,0.110550696844406,2,0.194974755593218,2
0.123062205141543,0.0940583300287454,0.088847950493275,0.094220476014497,0.150904625423584,0.114072470454893,0.151650842977235,0.0990700974801564,0.151296243604901,0.0971994676508028,0.129099624681173,0.0752088442990696,0.118862303470306,0.08449342695488,0.0967304473393426,0.14604170825485,0.0625260031587442,0.11434164700052,0.0849467477237376,0.121544969896508,0.0683642044572923,0.11232866233583,0.0841938760183857,0.0821519404069548,0.152803484568174,0.081695786145159,0.104831731739679,0.105193827796868,0.0818237441317285,0.13044552229102,0.129093901954012,0.140301532320205,0.105435463793703,0.122543383061643,0.217726608267505,0.0759787551451438,0.120545781349293,0.129649133115294,0.142912764436728,0.1451794748724,0.0702406294904377,0.213116557423065,0.100856094555505,0.150650970600613,0.1089154813668,0.143729927068317,0.0870763525183388,0.149392592694519,0.0791506173561418,0.122507548986901,0.106321649001416,0.133882909453267,0.0805169121447133,0.104118068702326,0.0987852565327387,0.17606865544413,0.0938592438311582,0.0936408432438997,0.128261672743547,0.0637275826988457,0.0900406412460163,0.121278069076535,0.117851047954676,0.115608250011019,0.114653911846783,0.114308617653504,0.146605127180936,0.071922052232967,0.140985470173895,0.104261205944993,0.104600636336356,0.0881065077871918,0.0505915711405948,0.104054955405251,0.0895028663526328,0.0790448372684331,0.0936402321655904,0.115867678394171,0.0975802632264557,0.111499599439454,0.0802240988879798,0.135140966109429,0.112579510103695,0.10725275072723,0.0474815030705796,0.108948299291108,0.110334930800191,0.17331107132237,0.0948248976522705,0.0842959810150602,0.135849639478006,0.0945968188852557,0.118409824311086,0.102995821583873,0.0745275988463334,0.0983805689230851,0.206925998748196,0.128260487555687,0.0925823919623205,0.11366807853246,3,0.201687264828878,2
0.123621131335837,0.0928997515567861,0.0879805539541854,0.0926635616150966,0.152702537338998,0.115514720363921,0.15777043316045,0.103972403425263,0.145498858152343,0.0981856680759322,0.12061892929199,0.0786043058202462,0.121539065540082,0.084363855970658,0.0965210144382958,0.148339084051852,0.064707094524715,0.111657333022771,0.0834449804355327,0.127628774462094,0.068638096765613,0.105897137997535,0.0812175211075503,0.0776304721666213,0.155547465474592,0.0822950102497459,0.103786905672968,0.102139581166027,0.0828282852088876,0.12588184790502,0.137032772822396,0.144883010100585,0.109271554143326,0.122169274557662,0.217224050447945,0.0769550107931226,0.123792462925733,0.133427259088156,0.139398419083319,0.142602744410051,0.0744508955418876,0.202839890133833,0.0987366674843688,0.144314309366682,0.110503114462011,0.140401915710338,0.0861118308893916,0.15018359751559,0.0800452782978031,0.120091042722923,0.10295334024586,0.134142648394201,0.0850622491269689,0.0996399903964934,0.101787305305494,0.170644620014071,0.0946420508479085,0.0895795963599618,0.128349122878228,0.0622539085277716,0.0900352501787137,0.12747699539429,0.115912934862347,0.114584752042365,0.117193916158744,0.117226996209747,0.148367145158121,0.0698914289121313,0.138610576608474,0.104951440638233,0.105102370401019,0.0903940119393139,0.0488852036318947,0.102889393487669,0.0907111935645499,0.0752213438327721,0.0936287241919048,0.114541995669859,0.0984692886323425,0.108980349063088,0.0789932324984709,0.138578533378198,0.117346719044966,0.104489851720376,0.0485760336404282,0.103485273686638,0.115845235162193,0.176137689667527,0.0974453266364215,0.0838830549455054,0.128824268373553,0.0977631986956737,0.123513222886,0.0985503681794604,0.0761996364394513,0.0955809388876515,0.20191551426422,0.123124422534476,0.0897588201505346,0.113169547736164,4,0.204178399383696,2
0.126815942871579,0.0916283316400285,0.0918451247206829,0.0982316769324654,0.160517615841246,0.121740241027998,0.16666957119165,0.101656310864606,0.157024533168699,0.103365394249597,0.126838633933413,0.0826643502204666,0.127127885852355,0.0816857638215638,0.0986796765908375,0.15135020758225,0.0649352657060577,0.11028014917231,0.0845421496963069,0.12896169857089,0.0729493931448746,0.108103065439914,0.0843039937003016,0.081682635825696,0.160033156116152,0.0836568269659754,0.105929874347593,0.0982520527245888,0.0833615995013781,0.129911237897719,0.135274706833605,0.152782423497824,0.11237585420606,0.12220439056817,0.219606049475117,0.0780848885254541,0.127362964958426,0.139673970120209,0.143476106246589,0.143820950209058,0.0762474753871819,0.207444549459898,0.101488957191394,0.151455047154059,0.117580807233104,0.142312252244217,0.091913117813026,0.157031019301331,0.0879935296227743,0.127101001125992,0.107805498129857,0.136004474974855,0.084539580225231,0.097590857159468,0.107538620205779,0.172047440757904,0.0973244890253677,0.0960495537160095,0.133304687046203,0.0655457253122382,0.0913766148389228,0.12352281483876,0.113923623101048,0.114638524073463,0.118266218824322,0.125316189736927,0.153446140035261,0.0737041547167441,0.142789548338168,0.104790598516099,0.106335408298878,0.0956048609576509,0.0541001263655099,0.106719494689893,0.089850826593858,0.075604919691217,0.0926636372844477,0.116375506848281,0.104922192368165,0.112538046055866,0.0794251458427511,0.142398008361361,0.126164933472894,0.105050688517305,0.0511245613619362,0.106345101563393,0.117671810617065,0.174720840666001,0.0991704119582965,0.0903374502821816,0.132262082853475,0.103302054701475,0.1351277127056,0.10062780026473,0.0797725065001874,0.0964050943992926,0.20679042945183,0.127693732999254,0.0926064891018578,0.117033804062104,5,0.21422788563657,2
0.132334403965373,0.0936047108983735,0.0916817393298107,0.0989337812108986,0.169915182394811,0.123465099565584,0.174779794794477,0.109100893720447,0.159691199053378,0.105200407531684,0.12860551376378,0.0873353660297623,0.127893942036348,0.0835396296717442,0.104606003138313,0.156983410866607,0.0660856317122147,0.108676273079131,0.0843848616938078,0.132025035960787,0.0727083702005048,0.113038480748258,0.0866445902236367,0.0864858538579201,0.162535940381039,0.0895467677047061,0.116820540806217,0.103361622194216,0.090562735259307,0.139724290860511,0.150043145421042,0.157340409191348,0.117149580690941,0.127919653538836,0.227731936871941,0.0832778973311302,0.136806755679738,0.143891238486444,0.142170721992384,0.137440610945973,0.0830701072171334,0.206529533245485,0.100568989333693,0.152627793991541,0.115593752746318,0.149302697122495,0.0967195698638295,0.151373701363976,0.0960216434130844,0.126443570881211,0.112393151588888,0.144347468977904,0.0858346179905191,0.105182401194865,0.109572193042784,0.172745996363937,0.0970409192602945,0.0971119879982994,0.144959381405129,0.067876027960744,0.0949200005167983,0.130684465800336,0.114875030228693,0.118844950133161,0.125032427720125,0.131650259874334,0.167316387098224,0.079145821603496,0.147110774932477,0.110683255201894,0.104163886187649,0.0932786611102599,0.0539011674762144,0.111791230269759,0.0912226751333362,0.0764479671294925,0.0961855888082265,0.115653878655096,0.115636472068159,0.114826975429151,0.0809000153394486,0.149990432063296,0.128844347399105,0.107921001511614,0.0516441291461544,0.109933376859113,0.130762635248671,0.179054190727136,0.101330434831705,0.0907643264089393,0.137218325566764,0.109729949641395,0.132324380325681,0.103846199219662,0.0807965584068603,0.0975668527608535,0.21527717202212,0.138265996697203,0.0986589728280904,0.119149501139965,6,0.215440263096912,2
0.138152308705857,0.0976605226152321,0.0931155456885163,0.105315701203856,0.179158668335735,0.13009341081213,0.176514371463267,0.118186416328185,0.158365270996586,0.110337640076622,0.132796152832156,0.0928523271873056,0.129380089087762,0.0866393119109085,0.116054335944317,0.162530727128696,0.0698521166386396,0.119849544998753,0.0881180136909802,0.138984606560273,0.0773615756110984,0.124253982256212,0.0915655935951301,0.0929027094545608,0.167609878460328,0.0923136811297508,0.11877044053512,0.105020729694805,0.099095814877483,0.150575134432504,0.148414091925913,0.170576925105507,0.12432604654709,0.137735035490342,0.23798467249576,0.0882574618321963,0.141709248567777,0.149626140659419,0.15619482847767,0.148254396673916,0.0909435094156671,0.219389913920925,0.102631591026423,0.16157779076247,0.114296418540493,0.151155372285751,0.102713172814008,0.15337587708189,0.0985756011029828,0.131223810511186,0.115197439824732,0.159828751418858,0.0877281258549092,0.108064466213458,0.114369609971805,0.180376079453737,0.101863973855144,0.105078633067493,0.156380489911235,0.0723630519178136,0.109033990982517,0.13790493236601,0.113895543209511,0.119531933310815,0.133798722939953,0.137537827691068,0.173804603963736,0.0828205140386553,0.15421710748249,0.111749275529616,0.110736508538983,0.0973471309467311,0.0545121255218235,0.114279635224325,0.100381694809682,0.0786972782063091,0.107240514542771,0.123871720496693,0.113991001076373,0.114767995749415,0.0823502718716715,0.156014126402526,0.131897578943038,0.118319724592472,0.0534396879397514,0.113495622053734,0.13453497048457,0.194307139980965,0.100328752242322,0.0974581592564232,0.145108093337542,0.117377609071845,0.132644616213426,0.107772078928051,0.0869671975699464,0.105431832574034,0.230008395696695,0.1482745513002,0.100899839938001,0.118526591389667,7,0.222095831511111,2
0.1469892368521,0.10438940771954,0.0941808672656775,0.10963685708496,0.186627914799721,0.137045521187777,0.19177746063495,0.120322703764374,0.155278133832739,0.115481580202661,0.145734333463127,0.0918494787944528,0.130610208106665,0.0869646804991424,0.122359566957465,0.176478689141868,0.0735459887219048,0.122943684842227,0.0955561060605679,0.146512168314352,0.08072783475354,0.125951318783744,0.0977693997215831,0.0972933849142708,0.17727081451587,0.0948690422471847,0.125259114923886,0.113268221212945,0.103910289999391,0.158364671211804,0.154844846348252,0.173709147315448,0.131280013357793,0.149401882074594,0.246402152416738,0.0909168426936313,0.145918920716736,0.154959076091902,0.162285013372374,0.161064597342698,0.100584584826784,0.219391146980869,0.107124064224783,0.175004087641975,0.117007631366197,0.159729151615029,0.107720443743815,0.159517379016087,0.104130615193635,0.132335001040964,0.125934201160093,0.160589694140677,0.0945028788472928,0.113998242765479,0.122595779608103,0.184914629564069,0.103896659055185,0.112378946416386,0.158379013237511,0.0748555937029376,0.122868989968132,0.144886850792494,0.121798470717245,0.125294159375632,0.142800993185224,0.139437640755244,0.180737402712051,0.0850904811061476,0.157182618591512,0.115270623228866,0.120657554715156,0.105884328079614,0.0595517018838467,0.121303445610052,0.104230913856334,0.0784268364256486,0.110459224811444,0.137323512969052,0.125860711583763,0.121658556720404,0.0891750528732221,0.164831329424766,0.145484100928105,0.125628555299859,0.0547401303066288,0.124514708716016,0.144908769133144,0.2043606955541,0.105153378409723,0.100621121425342,0.14835799733713,0.122002629604573,0.143021115406786,0.115646719383583,0.0960405678038844,0.115108966186321,0.238800900494803,0.165015631298742,0.0977362111175988,0.122311851870599,8,0.222319007580604,2
0.162596889620784,0.118422341117393,0.10420153497413,0.119365169501396,0.198131035714215,0.144459430974112,0.20405560461743,0.132104859971239,0.167923746636897,0.125226291656269,0.161012797995776,0.0987693396953536,0.14899968587197,0.0963615911497527,0.133609241206466,0.19346521477834,0.0798774781155547,0.132343015853553,0.0985067749843882,0.16097689492644,0.0888680534217206,0.13967520782587,0.0984589292984289,0.111685605293995,0.187616520349407,0.106869933610809,0.137748907723649,0.123334903226151,0.111116132610872,0.175287320410737,0.160934719112949,0.184176799847834,0.138613633217479,0.158999579822286,0.266087540939616,0.0971450839338104,0.157755710733992,0.162447496687734,0.183202037268594,0.165711215374643,0.108132447144916,0.235162954765544,0.120932324363153,0.184392604747689,0.131895930143028,0.157588899190176,0.111679583271737,0.174311234483883,0.118121753721119,0.136293130764551,0.131875458998829,0.170977291211307,0.103718773229996,0.121914349050364,0.136022701379482,0.200112465485465,0.109318204027163,0.122481321537133,0.179513565248591,0.082430054682161,0.133615341760945,0.155563070784391,0.131720455853628,0.138879380109365,0.155487617557647,0.152189253423282,0.193306746735681,0.0948949520631565,0.165512478356129,0.128416677348213,0.133108285333651,0.112711052610083,0.0656788602452512,0.129608143773278,0.114762082977155,0.086244834489208,0.119552952144576,0.141544522980383,0.140090525155089,0.133301486771745,0.0940316367045914,0.177831542274631,0.159727581297009,0.132843168735633,0.0623751420129319,0.140661175133209,0.155576404615517,0.227071535397508,0.109353563267038,0.11010818663484,0.164263462418768,0.1341851760185,0.152785322975357,0.124546565165576,0.0993410126635254,0.124749445896991,0.251984146019434,0.181015692011538,0.111535754272904,0.134140836489529,9,0.228394860398765,2
0.181805031295307,0.12765562086673,0.11740988435138,0.125053608965986,0.201609108542193,0.151486189311497,0.222210049113906,0.140173980131535,0.182915592531431,0.142553050012946,0.167521722360174,0.109152779056887,0.170319881821032,0.105303226557864,0.134758753152165,0.210236640473461,0.0889849226904009,0.150378040944743,0.111255859381919,0.175650639757171,0.0991224847627264,0.143416895386002,0.111184133745095,0.123657028504897,0.201514672064755,0.11789790137948,0.143720672329308,0.135178698734521,0.11934642838982,0.189503581224871,0.171035229797732,0.19616863976023,0.153707343748838,0.175293276431456,0.285646066494511,0.115313891608392,0.173906078317182,0.187858265991595,0.198091447010512,0.188343560808811,0.113896148751004,0.2603117812787,0.131569149264083,0.196363881743122,0.139966660547269,0.162977649700011,0.121871139060421,0.183518151566124,0.127273089581421,0.14944321351471,0.140883745446227,0.182392400715768,0.119239013040656,0.130354850870263,0.146649810337362,0.211842912228131,0.12127003395068,0.128204559548052,0.190177752771616,0.0899403724267879,0.140575145798284,0.167426675254862,0.140037179635689,0.14671196757639,0.160267835719109,0.164015230802025,0.209762499148672,0.102095020138888,0.175041224679383,0.142266205419082,0.146633529897796,0.117215778919883,0.0734384048115398,0.140484342543587,0.130861520376437,0.0994150666523785,0.131567046918104,0.156565961334849,0.151314015810104,0.146513068650384,0.0996842450246958,0.19166568480769,0.165161184232817,0.140832639899101,0.0745376557679733,0.15099964738853,0.169542348064836,0.244561197807639,0.122485728270884,0.114123525782798,0.184847462554681,0.144084724855519,0.162922572441489,0.132571116505195,0.116446088914508,0.134705115044441,0.261782092296683,0.191364588654969,0.120977842074229,0.142964352187366,10,0.235278068309687,2
