"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
-0.0088977108,-0.14127588,0.040061102,-0.027356141,0.094136979,0.048148234,0.048874064,0.12942625,-0.00024397331,0.077712876,-0.0090570357,0.0059136672,0.092092558,0.096574925,1,5
0.0061262756,-0.074650874,0.023136194,0.0096842455,0.070150777,0.10005202,-0.0037694174,0.012103629,0.01098898,0.037072181,-0.001508561,0.0014777296,-0.0017765681,0.18727192,2,5
-0.00072828748,-0.063775715,0.031262769,0.0061088895,0.031599503,0.065777692,0.038145778,0.014052309,0.0030450496,0.0044402492,-0.013609042,0.0014812191,0.033686333,0.14597229,3,5
-0.0079479727,-0.12996021,0.026437037,-0.046090084,0.13370085,0.057972586,0.051400783,0.084095164,0.0019577371,0.072442353,-0.0015131542,0.00027647317,0.11702118,0.12582575,4,5
-0.0058134586,-0.12861461,0.012216332,-0.041790993,0.1726608,0.012907304,-0.046269617,0.13379871,0.0063024905,0.060825314,-0.0045965367,-0.00085499892,0.13979482,0.18604908,5,5
0.0036729015,-0.11445958,0.055965273,-0.0063807318,0.17984476,-0.011711928,0.040992738,0.06205123,0.0043364329,-0.059091524,-0.0054208803,0.0047118095,-0.059479234,0.37646714,6,5
-0.0089295802,-0.10620696,0.033765541,-0.0425389,0.18817864,0.0043240736,0.040809666,0.20674097,0.02228522,-0.047547988,-0.0050665196,0.0087289483,0.020513394,0.21785146,7,5
0.0036312057,-0.11050164,0.038070216,-0.0088227087,-0.0040657963,0.15281535,-0.11460623,0.0037295198,-0.012330696,0.055564937,-0.026770088,0.0039372749,0.15520906,0.19423546,8,5
-0.0044889506,-0.096652779,0.043009805,0.015579378,-0.040187087,-0.011528385,0.086480953,0.050032048,-0.0026097227,0.1419602,-0.024292529,0.0030196769,0.086255144,0.12074244,9,5
0.0025700572,-0.14355745,0.025858584,-0.020194176,0.14540152,0.051711882,0.021994192,0.030015155,0.01177458,-0.080115354,-0.013838145,0.014660427,0.051736418,0.12640325,10,5
-0.0084743662,-0.10471438,0.053886834,-0.030008974,0.071686785,0.063628424,0.07533422,0.090971811,0.012641742,0.031727884,-0.0065960973,0.001184007,0.11588791,0.022785707,11,5
0.002951686,-0.12247427,0.027737064,-0.0057287028,0.069892172,0.03098443,0.011991155,0.071428909,0.0042148941,0.024559344,-0.031808679,0.015986424,-0.001057511,0.29072423,12,5
-0.002177615,-0.11192568,0.036185378,-0.017547521,0.03283246,0.056404001,0.016437731,0.089884563,0.0011167244,0.090638803,-0.019154329,0.0089587278,0.11890001,0.17245372,13,5
-0.0017765959,-0.11896669,0.047191441,0.0011633842,0.16166515,0.075779687,0.07640384,0.16325976,0.0088837616,-0.036721003,-0.0030217884,0.0065971149,0.030448383,0.18863218,14,5
-0.0011965716,-0.080360943,0.036623514,-0.02305487,0.063150895,0.046443716,0.086861119,0.14123939,0.010304416,-0.0096616539,-0.014500548,-0.0070553105,-0.054127036,0.21018955,15,5
-0.0038245837,-0.12396437,0.031859958,-0.011920759,0.12951869,0.22780675,-0.092796304,0.11245498,0.0025909571,0.013837107,-0.012023644,0.014611268,-0.0043123548,0.380597,16,5
-0.0012429777,-0.089348929,0.035886027,-0.025170702,-0.07952906,0.12930592,0.079438579,0.15072801,0.0035250337,0.0011396438,-0.028835223,0.0060812052,0.067670119,0.066662555,17,5
-0.0044291337,-0.14122129,0.03913787,-0.0080900438,0.11075811,0.00010534433,-0.075494776,-0.016739981,0.0081424749,0.10423888,-0.023962267,0.013480677,0.079749463,0.21885547,18,5
0.0013027384,-0.094785696,0.03338042,-0.02598676,0.075230694,0.092699993,0.047298232,0.10290174,0.0026531951,-0.11444569,-0.021692287,0.0045184019,0.04803034,0.13266381,19,5
-0.010337155,-0.12524037,0.034121691,-0.0068744141,0.066856766,-0.013333406,-0.0086602799,-0.027695394,0.0066560317,0.13381098,-0.00824186,0.0062175989,0.087052271,0.22277101,20,5
0.0074467014,-0.11818134,0.051435673,-0.030171056,0.072938271,0.17433104,0.056775679,0.024585565,0.0049797498,0.10514651,-0.028234268,0.0081202754,0.043256379,0.23358224,21,5
0.011977505,-0.11757953,0.053572761,-0.027454322,0.05957685,0.17795577,0.071414347,0.027675795,0.0050428571,0.084295294,-0.027777398,0.0073950691,0.038285082,0.25062904,22,5
0.011927339,-0.12833191,0.057253737,-0.024018604,0.064766302,0.17335795,0.074262656,0.0051058968,0.0029202346,0.077903688,-0.02524742,0.0065344452,0.015699445,0.26986482,23,5
-0.0043886294,-0.12883345,0.028820724,-0.045236291,0.0979675,-0.069505428,0.058038649,-0.024130123,-0.002076263,0.16453747,-0.01136727,0.009655789,0.055029416,0.19397138,24,5
-0.0020993534,-0.10106773,0.047707087,0.019668692,0.097444504,0.20236327,-0.024585031,0.17749058,0.0056592136,-0.06352383,-0.012361515,0.010459744,0.061435767,0.23176154,25,5
-0.0028938242,-0.1115185,0.023942302,-0.058097367,0.21339954,0.02341597,-0.10956849,-0.029905951,0.007028673,0.064504908,-0.025574395,0.0050741129,0.29760576,0.13026465,26,5
-0.0023450283,-0.1204007,0.044008503,0.010320124,0.059297956,0.036910318,-0.1275094,0.062123841,0.0029682494,0.093866479,-0.0071758669,0.00042211681,0.06418262,0.37283005,27,5
0.0070326432,-0.13746075,0.030873686,0.0050183467,0.086200577,0.046466995,-0.10638438,0.09032658,0.0018045421,0.10481802,-0.013554416,0.0013108965,0.13622249,0.31341832,28,5
