"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
-0.0043608632,-0.060268209,0.022343412,-0.0067562659,0.023675138,0.0659439,-0.0010028404,0.061506095,-0.0077821523,0.080825223,-0.013730293,0.010352595,0.14878421,0.17395243,1,4
7.5081871e-06,-0.14670229,0.057842154,-0.021065969,0.1360741,0.050087589,0.082937797,0.021882435,0.0055097426,-0.011323655,-0.013269741,0.010805164,0.049419558,0.16232973,2,4
-0.0031597006,-0.072987686,0.01938273,-0.020932927,0.021822926,0.024765055,-0.038675646,0.014574834,-0.0030933619,0.11481713,-0.017030769,0.0031895609,0.10919214,0.2005053,3,4
-0.0048074555,-0.079127122,0.042605925,-0.037712474,0.010165728,0.023743599,-0.026767465,0.10956238,-0.00041994089,0.05449117,-0.027570181,0.015975654,0.16487803,0.15064956,4,4
-0.0028223467,-0.079220853,0.018909908,-0.013989792,0.02069441,0.035374882,0.088363011,-0.016245491,-2.0297439e-05,0.072992667,-0.017751766,0.0059564408,-0.0094465186,0.24396517,5,4
-0.0080561609,-0.093866727,0.025573329,-0.03373159,0.088893735,0.047953715,0.059168743,0.17714336,-0.00036417617,-0.053024304,0.0057763186,-0.0005999067,0.10796018,0.077845886,6,4
0.0027154852,-0.12698353,0.056940313,-0.013552207,0.15622755,0.11465553,0.017219401,-0.02045207,-0.00067217899,0.1516163,-0.01947166,0.018667856,-0.026058738,0.34733308,7,4
-0.014265065,-0.15211724,0.043745786,-0.0098179674,0.21780877,-0.0016465473,0.031395787,-0.096964381,0.0047036219,0.18248828,-0.010565929,-0.0037947176,0.074183731,0.26219992,8,4
0.0045784594,-0.12991563,0.030742945,-0.0076367757,0.15225639,0.14249982,0.043308093,-0.041053266,-0.0065288307,0.033820969,-0.007127419,0.012256486,0.10290715,0.10714486,9,4
-0.012428973,-0.07806727,0.028871704,-0.0042295514,0.085745407,-0.014053596,-0.17867881,-0.0093652346,0.0064098343,0.27510199,-0.013647889,-0.00084869282,0.19917946,0.29657901,10,4
-0.004016189,-0.11265178,0.038333359,-0.038671008,0.053936465,0.19739251,0.24060011,-0.03418749,-0.0082344998,-0.0015615681,-0.024806227,0.011783806,-0.12520189,0.20408172,11,4
-0.0055476882,-0.11931743,0.054647658,-0.0014917423,0.040288656,0.022777885,-0.11540349,0.094528477,0.0086748875,0.25809552,-0.010591081,0.0084450139,0.14767708,0.35447251,12,4
-0.003750652,-0.074545869,0.013146164,-0.056919932,0.08011726,0.19103166,-0.18132693,-0.06793437,-0.0056639437,0.07939782,-0.026184331,0.01081187,0.30058061,0.20206292,13,4
-0.0012854281,-0.115823,0.069779285,0.0080958873,0.098797153,0.028435129,-0.079913431,0.29651366,-0.0069847035,-0.19064559,-0.0077909933,0.0046704077,0.061925492,0.29966519,14,4
-0.014622169,-0.10573641,0.048939828,-0.029261887,0.15284729,0.10952286,-0.032730601,0.23703826,0.0023275212,-0.11640011,-0.013533015,0.012639451,0.058996107,0.29964648,15,4
0.0017593686,-0.1175562,0.039055745,-0.0012978597,0.088496141,0.19127061,0.056471289,0.026426993,0.00324583,0.0094494362,-0.020437662,0.0052048217,0.050195171,0.13977742,16,4
-0.0062826853,-0.154508,0.022508278,-0.010894167,0.094355597,0.053725039,0.016121306,0.029248556,3.3743957e-05,0.076760654,-0.00071167891,-0.0051736622,0.065769511,0.19171525,17,4
-0.0065618662,-0.14803276,0.021489964,-0.0092912887,0.062585686,0.075264323,0.0058214379,0.042250511,0.0013455243,0.082035497,-0.0023290613,-0.0016059426,0.07220848,0.15704661,18,4
-0.0052699544,-0.10191623,0.047041054,-0.013144245,0.071270937,0.070213325,0.06084146,0.14233255,0.0069578148,-0.011677439,-0.02645328,0.013012317,-0.081489162,0.30911847,19,4
-0.0029982883,-0.10837846,0.030714656,-0.02687947,0.0914962,0.16295604,0.047553186,0.05641124,-0.0066459762,0.013418968,0.014280162,-0.0073807053,0.073512836,0.15382359,20,4
-0.0059027553,-0.10401033,0.054925109,-0.024851392,0.06913199,-0.042748666,0.070385506,0.02525057,0.007304554,0.11313115,-0.032360063,0.019542872,0.055271655,0.18824165,21,4
0.0010618544,-0.12732013,0.036357635,-0.010731041,0.11285443,-0.040245527,0.029047056,0.11902536,0.0027629402,0.19358568,-0.014276647,0.0087305395,0.039440244,0.21713409,22,4
-0.0091248054,-0.10715369,0.0434414,-0.011482292,0.20226526,0.21339279,0.045329984,0.002836172,-0.0018692778,0.020909385,-0.01164851,0.0059586059,0.081794989,0.20318461,23,4
0.00067154405,-0.11942709,0.03575947,-0.031614749,0.21296617,0.14077493,0.061390068,0.0093528648,-0.0012105993,-0.069455193,-0.015883269,0.0076140064,0.061110334,0.1231936,24,4
0.00087658106,-0.074502779,0.027655161,-0.026983408,0.0012623154,0.036569554,-0.010578765,0.12264737,0.0068277995,0.098918054,-0.016991023,0.00088946672,0.031940467,0.36411307,25,4
-0.00018268959,-0.08134779,0.024237073,-0.0049750012,0.121603,0.079011106,-0.065078002,0.070246478,0.0074574244,0.039649697,-0.0068381011,0.0056045499,0.064372061,0.29944225,26,4
-0.012678869,-0.10299371,0.040391856,-0.048157879,0.32130816,0.051188095,-0.077009067,0.057477969,-0.0034531332,-0.114239,-0.016537592,0.000306471,0.15152901,0.18024468,27,4
0.0049741757,-0.10829821,0.0212958,-0.00011472765,-0.039440653,0.086221619,-0.0012793247,0.18537014,0.0045938391,-0.048993061,-0.0017185242,0.0091921089,0.10423744,0.14643058,28,4
-0.012346196,-0.059292467,0.042414984,-0.059374711,0.23014751,0.050987082,-0.071288833,0.17834429,-0.0014489131,-0.023688015,-0.03454176,0.0095237019,0.082146142,0.29963849,29,4
0.00045963558,-0.078612958,0.050996849,-0.02187637,-0.05840438,0.21251391,0.097948781,0.058845867,0.0029560508,0.018509294,-0.030325924,0.022549162,0.034157531,0.15946341,30,4
-0.013186468,-0.10843051,0.026121355,-0.015348812,0.21325066,0.0016103114,-0.024375525,0.018216234,-0.0066829718,0.15024567,-0.0062493145,0.00071220719,0.089751804,0.21412214,31,4
0.0041656195,-0.09393655,0.055494563,-0.0074299123,-0.071193604,0.11662673,0.073660948,0.066139656,0.0064189369,-0.037901445,-0.02328651,0.015649102,0.040781866,0.089525881,32,4
