"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
-0.00014603056,-0.12184713,0.042200446,-0.0069130783,0.12394392,0.013244242,0.097979679,0.1313608,0.01160844,-0.069166458,-0.0042758714,0.011792161,0.061183976,0.17511064,1,3
0.002710238,-0.10855326,0.056937367,0.0055091643,0.082247648,0.09556754,0.073721907,0.059656969,0.008025374,0.056115519,-0.011237407,0.0069576377,0.060576607,0.15849818,2,3
-0.0018440019,-0.078971896,0.024454299,-0.062632225,0.073185489,0.027164538,0.02843847,0.16593513,0.0078596699,0.008237436,-0.0013171385,0.011276152,0.13044023,0.17589668,3,3
0.0041832073,-0.12581368,0.07051227,-0.02251198,0.12195246,0.064388187,0.089147886,-0.086630277,0.0037880363,0.14172823,-0.010237248,0.0051647525,0.11262961,0.057160512,4,3
0.0034992238,-0.12739168,0.066029469,-0.018954428,0.10082649,0.046535477,0.10690422,-0.055597535,0.0020975719,0.12289469,-0.00215175,0.0090508954,0.063964499,0.080387209,5,3
0.0033008691,-0.10808268,0.072963604,-0.022644711,0.089943463,0.031538021,0.10781684,-0.034105695,0.0030830083,0.1220278,-0.010475812,0.0058507793,0.064711229,0.030797539,6,3
-0.0024548997,-0.10003615,0.044414721,-0.013701768,0.1156389,-0.0050664906,0.063433058,0.050117169,0.0029633692,0.034261584,-0.0074651895,0.0068188966,0.043634606,0.14208595,7,3
0.0016486259,-0.13293834,0.044143345,-0.0050314171,0.13609763,-0.011523525,0.10354752,0.084062533,0.0019408862,0.060066506,-0.015833655,0.0094306216,-0.027665763,0.19213841,8,3
0.00041550198,-0.13682465,0.041991405,-0.0081178447,0.13285905,-0.018590735,0.10914301,0.091978351,0.0057006969,0.055382671,-0.015856833,0.0090348044,-0.015720165,0.17794032,9,3
-0.0018153931,-0.063795661,0.036338989,-0.06164524,0.04418339,0.15135458,-0.027872833,0.047500412,0.0056420385,0.030731413,-0.0075638247,0.0021372889,0.12019546,0.17898005,10,3
0.0064627532,-0.1008388,0.035673221,-0.00088772091,0.096437238,-0.027633561,0.060856941,0.046262101,0.005216983,0.10810786,-0.0066596778,0.016435345,0.065541583,0.081543792,11,3
0.0088000194,-0.11455671,0.02666826,-0.0075256872,0.10254574,-0.031575252,0.045075397,0.018215565,0.0028027908,0.087996978,-0.0086011607,0.014760413,0.10177913,0.11999029,12,3
-0.0057933197,-0.0905968,0.068356201,-0.020013207,0.075447875,0.15884608,0.086058124,-0.019859883,0.00567057,0.069398395,-0.0032109673,0.00056708565,0.065126005,0.13188943,13,3
-0.004500615,-0.096393466,0.074174122,-0.024298521,0.11824578,0.15499218,0.10951998,0.0069760302,0.0064893317,0.099583916,-0.002295264,0.0040352569,-0.00094328986,0.18997755,14,3
-0.0039881176,-0.11197674,0.057413238,-0.037185301,0.18764959,0.10535524,0.029108012,-0.010984463,0.0048702204,0.13266309,0.0037963105,0.0033734616,0.070273314,0.1898109,15,3
-2.7888194e-05,-0.13648898,0.046088416,-0.03374787,0.20039627,0.08919929,-0.03717329,-0.066928967,0.0070780939,0.18048762,0.025911922,-0.0004270597,0.085726272,0.22072675,16,3
0.00092841447,-0.080661533,0.060554211,-0.034869505,0.10514308,0.13853781,0.12251076,-0.032864079,-0.0040562896,0.044540523,-0.029995978,0.012390197,-0.080255543,0.25728472,17,3
-0.0010421387,-0.073347027,0.028038475,-0.033302466,0.019956201,0.061525304,-0.090064866,0.014796023,0.0020544518,0.057358242,0.0068276408,0.002244273,0.17787438,0.15005615,18,3
0.0043959911,-0.10945855,0.057367463,-0.0031710883,0.10153585,0.05613365,0.067375162,-0.020628358,0.011146659,0.13068429,-0.012534393,0.011191174,0.081319041,0.074661153,19,3
0.00044658982,-0.058124534,0.026899044,-0.043109997,0.085248148,0.04159993,0.089184166,0.20411343,0.0059795111,-0.032840186,0.0007051383,0.0007016468,0.056425582,0.20374409,20,3
0.00041909513,-0.1310297,0.059266577,-0.0066600006,0.085079873,0.048358884,0.01747709,-0.022642576,0.012471085,0.16930314,-0.017434458,0.011821368,0.071366431,0.1346641,21,3
0.0042220708,-0.10520234,0.039086481,0.0173155,0.12456202,0.03471147,0.020564391,0.025700081,-0.00050058752,0.013451703,0.001405394,0.012252758,0.068784413,0.082569273,22,3
0.0057466571,-0.097197766,0.032519856,0.021212549,0.094402879,0.030286254,-0.00021937215,-0.00040991514,-0.0033904718,-0.0051769002,-0.005297252,0.015744958,0.092942507,0.1102496,23,3
0.0033757631,-0.09612328,0.053425024,-0.039450216,0.044005039,0.15696498,0.073123674,0.053448105,0.012072053,0.038195307,-0.0020188303,0.011094846,0.035648332,0.22017621,24,3
0.0030594733,-0.092316591,0.034461324,0.025520669,0.13048993,0.031913016,0.077780495,0.027511095,-0.0012837331,0.089404391,-0.019007246,0.017225864,0.038397172,0.13073394,25,3
-0.0017417466,-0.083482913,0.06130098,-0.070369917,0.013942638,0.10037446,0.051225155,0.09913494,0.011132172,0.034807996,0.0043301052,0.0041740605,0.091333843,0.20312477,26,3
-0.0009893904,-0.092208432,0.047914947,-0.019127545,0.03921043,0.017819049,0.072008269,0.15405543,0.00039702525,0.020079102,-0.0035538114,0.0065809932,0.021374271,0.12068213,27,3
0.0061336721,-0.09669237,0.022856228,-0.049629619,0.1016764,0.10350572,0.048116752,0.074393879,-0.005855993,0.031994944,-0.0017156571,0.0056155791,0.092021428,0.14529871,28,3
-0.0057605353,-0.073280867,0.050333889,-0.021132574,0.055043915,-0.08184142,0.097436994,0.020049735,0.0097789119,0.20121541,0.008942462,-0.0031287718,0.0090355796,0.17630031,29,3
-0.0032972126,-0.1005015,0.041854251,-0.039303827,0.13645381,0.15307057,0.071032543,0.10775004,-0.00086234956,-0.14183088,-0.026636493,0.018977789,0.089299389,0.20224329,30,3
0.004687355,-0.082997402,0.042052009,-0.059817951,0.19041689,0.058319743,0.012874563,0.19937385,0.011623428,-0.023034092,0.001345937,0.003007156,0.033355196,0.1689612,31,3
