"cv_fold","feature","beta_name","posterior_mean","posterior_sd","posterior_median","ci_2.5","ci_97.5","prob_positive","prob_negative","includes_zero","prior_mean","rhat","ess_bulk","ess_tail"
1,"rainfall_3_months_anomaly_cubic_intp","beta[1]",-0.00235230010049581,0.00465899988768019,-0.0023736546,-0.011275163575,0.0065949796975,0.31575,0.68425,TRUE,0,1.00087868288963,8155.58514816672,2850.29355336742
1,"ndvi_value_cubic_intp","beta[2]",-0.11726270332425,0.0288693941261563,-0.11743369,-0.175050814,-0.059263830775,0,1,FALSE,0,1.00050130985015,4551.24727825862,2900.60797539613
1,"ndvi_anomaly_cubic_intp","beta[3]",0.0378606294870766,0.0153301501003089,0.03793316,0.0074672291425,0.0679719093,0.99275,0.00725,FALSE,0,1.00163783860264,5114.02983117103,2950.15166631461
1,"log_currency_exchange","beta[4]",-0.0184192986817115,0.0204147202731378,-0.0183438075,-0.058346569975,0.0215701285,0.18225,0.81775,TRUE,0,0.999704278382874,4098.9841546592,2546.04922437295
1,"log_Area","beta[5]",0.0960063202870286,0.0741080954175382,0.0932608675,-0.044842791425,0.24422549825,0.9085,0.0915,TRUE,0,1.00280171194371,4042.74912928339,2837.30169919064
1,"Muslim","beta[6]",0.11674584923898,0.0792007904857337,0.113700875,-0.0323953971,0.27940798025,0.9375,0.0625,TRUE,0,1.00232045545367,3368.94729897737,2273.2603454428
1,"log_food_inflation","beta[7]",0.005678982747569,0.09012354845055,0.010704189,-0.19483548825,0.1682038175,0.55325,0.44675,TRUE,0,1.0013019402024,2025.81070756368,1960.3248039514
1,"log_food_inflation_MPI","beta[8]",0.107387897417774,0.0915300029502847,0.10524981,-0.063462255175,0.29367235525,0.89525,0.10475,TRUE,0,1.00055293572656,2799.60852985183,2317.13353659494
1,"log_fatalities_explosions","beta[9]",0.0032967198237698,0.00547713625085897,0.0033944088,-0.0076100292975,0.0140743126,0.723,0.277,TRUE,0,1.00102217724017,7192.01045854,2771.88454757927
1,"MPI","beta[10]",0.0503488553829003,0.0917186196823258,0.051589784,-0.1353282405,0.234022201,0.7365,0.2635,TRUE,0,1.00427877943539,2760.92313413841,1834.86235005457
1,"n_conflicts_Battles_rolsum_90days","beta[11]",-0.00975820268522924,0.00999892878750877,-0.00991429135,-0.0290646097,0.009796981315,0.16425,0.83575,TRUE,0,1.00187132215389,5231.2930279639,3308.23132936732
1,"log_fatalities_battles","beta[12]",0.00865953841400244,0.00797151492043178,0.00886243055,-0.0067725111375,0.023709287475,0.85775,0.14225,TRUE,0,1.00250689741053,5024.41071555343,2880.17366127537
1,"headline_inflation_cubic_intp","beta[13]",0.0744338674200272,0.0918052946828652,0.0711832235,-0.11004452525,0.263864817,0.80275,0.19725,TRUE,0,1.00096050359049,2248.96931690415,2141.29634081703
1,"day_num","beta[14]",0.208986021115425,0.0782031652230178,0.208237275,0.060053359225,0.36502416175,0.998,0.002,FALSE,0,1.00100612834053,2823.04199687539,2952.41909750626
