"feature","beta_name","avg_posterior_mean","avg_posterior_sd","avg_prob_positive","times_includes_zero","avg_rhat","min_ess_bulk"
"MPI","beta[10]",0.0358724281179312,0.0817264998537486,0.690541666666667,6,1.0013424557955,2234.82649700714
"Muslim","beta[6]",0.0809150877724029,0.0720963842779924,0.870166666666667,6,1.00131482002189,3157.33744724518
"day_num","beta[14]",0.188931986526491,0.0753790860798909,0.996541666666667,0,1.00150483724741,1914.40319157486
"headline_inflation_cubic_intp","beta[13]",0.0751926889524849,0.0819327852282029,0.837208333333333,6,1.00094652091895,2209.53827669127
"log_Area","beta[5]",0.0921936551066262,0.0710994351456377,0.908375,6,1.00188617500599,3189.1652486513
"log_currency_exchange","beta[4]",-0.0218197111402581,0.0206580274444871,0.151875,6,1.00096162563554,4098.9841546592
"log_fatalities_battles","beta[12]",0.00773029419826322,0.00693466992605025,0.848166666666667,6,1.00079713701306,4477.17571173079
"log_fatalities_explosions","beta[9]",0.00297497012482391,0.00543394446274242,0.695083333333333,6,1.00108853143799,5992.13237757869
"log_food_inflation","beta[7]",0.0214649615656151,0.0802166944523373,0.639291666666667,6,1.00092350907887,2025.81070756368
"log_food_inflation_MPI","beta[8]",0.0723361177736723,0.0820697457335051,0.81575,6,1.00111437262669,2079.15727629292
"n_conflicts_Battles_rolsum_90days","beta[11]",-0.0127916506737166,0.00970709375437566,0.110166666666667,5,1.00062531081263,4599.74133611795
"ndvi_anomaly_cubic_intp","beta[3]",0.0381497794800084,0.0148919749327707,0.994125,0,1.00101582678417,4056.878199162
"ndvi_value_cubic_intp","beta[2]",-0.110836728942648,0.027877962069764,0.000125,0,1.00060672800091,3495.70248600439
"rainfall_3_months_anomaly_cubic_intp","beta[1]",-0.00326578512139526,0.00466629851985079,0.271583333333333,6,1.00119384322083,6180.02274370865
