"","x"
"lp__",2995.41651575
"alpha0",0.1568105949845
"alpha1",2.5096525768
"alpha21",0.260658135209825
"alpha22",0.1582608422885
"rho2",23.61672672975
"sigma1",0.2090578814135
"sigma",0.0229740405995
"beta[1]",-0.00431608301529672
"beta[2]",-0.100547388776475
"beta[3]",0.0362498554140325
"beta[4]",-0.024414992110017
"beta[5]",0.09810625755157
"beta[6]",0.0770435064152588
"beta[7]",0.013887446868852
"beta[8]",0.0644805890425166
"beta[9]",0.000341786852500825
"beta[10]",0.0303754155688007
"beta[11]",-0.0147137892327619
"beta[12]",0.0077620573023435
"beta[13]",0.0767857374082048
"beta[14]",0.199080403170588
"beta_sd",0.10032249153425
