"","x"
"lp__",3077.162793625
"alpha0",0.171611591786
"alpha1",2.19970021095
"alpha21",0.270539686899
"alpha22",0.1510446689925
"rho2",23.8293390942475
"sigma1",0.20826666237675
"sigma",0.02102228128275
"beta[1]",0.00104136692260616
"beta[2]",-0.0943383001264875
"beta[3]",0.0426084691126175
"beta[4]",-0.0304873288813208
"beta[5]",0.0831287384456417
"beta[6]",0.077315439636303
"beta[7]",0.0295511013884721
"beta[8]",0.0750523227690038
"beta[9]",0.0046116921966224
"beta[10]",0.040022646133883
"beta[11]",-0.00734209305150873
"beta[12]",0.0090367693338587
"beta[13]",0.073676960322539
"beta[14]",0.169330898094385
"beta_sd",0.092845900403
