"adm1_name","Easting","Northing","Datetime","fcs","cv_ind","rainfall_3_months_anomaly_cubic_intp","ndvi_value_cubic_intp","ndvi_anomaly_cubic_intp","log_currency_exchange","log_Area","Muslim","log_food_inflation","log_food_inflation_MPI","log_fatalities_explosions","MPI","n_conflicts_Battles_rolsum_90days","log_fatalities_battles","headline_inflation_cubic_intp","day_num"
"Abia",1459.76379335693,-4916.26116881343,"2022-10-05",0.177457157951481,2,0.765604916514432,0.797978849771255,0.988993347746649,6.07043745197727,0.333999829025263,0.001,3.1590236789969,0.319061391578687,0,0.101,5,1.38629436111989,20.9513535573314,1
"Abia",1459.76379335693,-4916.26116881343,"2022-10-12",0.194974755593218,2,0.8380588982913,0.792595904258289,0.989012021512337,6.0759665281957,0.333999829025263,0.001,3.16395104409405,0.319559055453499,0,0.101,5,1.38629436111989,21.0449815933777,2
"Abia",1459.76379335693,-4916.26116881343,"2022-10-19",0.201687264828878,2,0.778820490086735,0.78366589076318,0.988444379951461,6.07988742745788,0.333999829025263,0.001,3.16966671612122,0.320136338328243,0,0.101,6,1.6094379124341,21.1540733904655,3
"Abia",1459.76379335693,-4916.26116881343,"2022-10-26",0.204178399383696,2,0.78272153784738,0.772778135182236,0.987870667397618,6.08119098498184,0.333999829025263,0.001,3.17552321953544,0.320727845173079,0,0.101,6,1.6094379124341,21.2688481948402,4
"Abia",1459.76379335693,-4916.26116881343,"2022-11-02",0.21422788563657,2,0.81551034293213,0.759621134677327,0.987650291796592,6.08534188269933,0.333999829025263,0.001,3.18044448122798,0.321224892604026,0,0.101,5,1.6094379124341,21.3716762186163,5
"Abia",1459.76379335693,-4916.26116881343,"2022-11-09",0.215440263096912,2,0.769825005887255,0.743307667457431,0.987961969501796,6.08856857155596,0.333999829025263,0.001,3.18336044150144,0.321519404591646,0,0.101,7,2.07944154167984,21.4446900910365,6
"Abia",1459.76379335693,-4916.26116881343,"2022-11-16",0.222095831511111,2,0.755036596318573,0.724812902525966,0.989025037992004,6.09173965396592,0.333999829025263,0.001,3.18320627244162,0.321503833516604,0,0.101,6,1.6094379124341,21.4700469869631,7
"Abia",1459.76379335693,-4916.26116881343,"2022-11-23",0.222319007580604,2,0.788365205509863,0.704698811216039,0.991003106416534,6.09537401049849,0.333999829025263,0.001,3.17967711898337,0.32114738901732,0,0.101,6,1.6094379124341,21.4423732559891,8
"Abia",1459.76379335693,-4916.26116881343,"2022-11-30",0.228394860398765,2,0.837456479889628,0.683462153830326,0.994044873611529,6.09681506271581,0.333999829025263,0.001,3.17449939489724,0.320624438884622,0,0.101,6,1.6094379124341,21.389014558566,9
"Abia",1459.76379335693,-4916.26116881343,"2022-12-07",0.235278068309687,2,0.900360504007244,0.662080128128868,0.998290598710163,6.09877066884622,0.333999829025263,0.001,3.16975514969408,0.320145270119102,0,0.101,5,1.6094379124341,21.3426184089674,10
"Abia",1459.76379335693,-4916.26116881343,"2022-12-14",0.241021385624169,2,0.91214017717067,0.640790028102055,1.00358663769006,6.10022926189937,0.333999829025263,0.001,3.16756307194529,0.319923870266475,0,0.101,5,1.6094379124341,21.3358323214673,11
"Abia",1459.76379335693,-4916.26116881343,"2022-12-21",0.25611713586605,2,0.880839,0.6202,1.00916,6.10134981063722,0.333999829025263,0.001,3.16963073957298,0.320132704696871,0,0.101,4,1.6094379124341,21.3947788132211,12
"Abia",1459.76379335693,-4916.26116881343,"2022-12-28",0.266517972223368,2,0.882833209990056,0.601582058206376,1.0138711730811,6.10287174468211,0.333999829025263,0.001,3.1750562357839,0.320680679814173,0,0.101,4,1.6094379124341,21.5053127108355,13
"Abia",1459.76379335693,-4916.26116881343,"2023-01-04",0.27041093520399,2,0.799800989967934,0.58564648651376,1.01752519416271,6.10815810060526,0.333999829025263,0.001,3.18194952030526,0.321376901550831,0,0.101,4,1.6094379124341,21.6379430143608,14
"Abia",1459.76379335693,-4916.26116881343,"2023-01-11",0.260712036286292,2,0.648276,0.574,1.019497,6.11390339430056,0.333999829025263,0.001,3.18845449182201,0.322033903674023,0,0.101,4,1.6094379124341,21.7631485155278,15
"Abia",1459.76379335693,-4916.26116881343,"2023-01-18",0.256863790813479,2,0.605128707764323,0.568414661504841,1.01857683694793,6.11827339397168,0.333999829025263,0.001,3.19279723136276,0.322472520367638,0,0.101,4,1.94591014905531,21.8520111021091,16
"Abia",1459.76379335693,-4916.26116881343,"2023-01-25",0.271891299421861,2,0.605734587787414,0.566497373209032,1.01452487711293,6.13224770699343,0.333999829025263,0.001,3.19443869339287,0.32263830803268,0,0.101,4,1.94591014905531,21.8955371681605,17
"Abia",1459.76379335693,-4916.26116881343,"2023-02-01",0.279075067070977,2,0.586779,0.568,1.008626,6.13344142600353,0.333999829025263,0.001,3.19428701659867,0.322622988676466,0,0.101,3,1.94591014905531,21.9087452649728,18
"Abia",1459.76379335693,-4916.26116881343,"2023-02-08",0.286084230473738,2,0.541278168595519,0.574427580920256,1.0031661326572,6.13322449214581,0.333999829025263,0.001,3.19332428909706,0.322525753198803,0,0.101,1,1.38629436111989,21.908083504826,19
"Abia",1459.76379335693,-4916.26116881343,"2023-02-15",0.306525837132802,2,0.479211218362694,0.583899858325176,1.00017557861682,6.13352818637145,0.333999829025263,0.001,3.1925318495286,0.322445716802388,0,0.101,1,1.38629436111989,21.91,20
"Abia",1459.76379335693,-4916.26116881343,"2023-02-22",0.309767901102764,2,0.564346363844832,0.598944344767595,1.00139110865218,6.13333296495721,0.333999829025263,0.001,3.19267320285339,0.322459993488192,0,0.101,1,1.38629436111989,21.927311444345,21
