"","x"
"lp__",3015.43411125
"alpha0",0.16273299243675
"alpha1",2.40249325375
"alpha21",0.2530732118135
"alpha22",0.152297155809
"rho2",23.505670583
"sigma1",0.18755363210075
"sigma",0.0235735457535
"beta[1]",-0.00235230010049582
"beta[2]",-0.11726270332425
"beta[3]",0.0378606294870767
"beta[4]",-0.0184192986817115
"beta[5]",0.0960063202870285
"beta[6]",0.11674584923898
"beta[7]",0.005678982747569
"beta[8]",0.107387897417774
"beta[9]",0.00329671982376979
"beta[10]",0.0503488553829001
"beta[11]",-0.00975820268522922
"beta[12]",0.00865953841400245
"beta[13]",0.0744338674200272
"beta[14]",0.208986021115425
"beta_sd",0.11218379173975
