"","x"
"lp__",3017.93150225
"alpha0",0.1668438765385
"alpha1",2.39435820725
"alpha21",0.30099970150425
"alpha22",0.141835207153
"rho2",24.310857996055
"sigma1",0.213429469392
"sigma",0.022796089725
"beta[1]",-0.0020089581764548
"beta[2]",-0.110323902732525
"beta[3]",0.035887957780487
"beta[4]",-0.0171896873635097
"beta[5]",0.099523925756823
"beta[6]",0.067778037882521
"beta[7]",0.019787452895736
"beta[8]",0.0767014970992458
"beta[9]",0.00515779713492568
"beta[10]",0.0347694115155322
"beta[11]",-0.0155219742277392
"beta[12]",0.00664746406202528
"beta[13]",0.0730422122496755
"beta[14]",0.197646876830498
"beta_sd",0.1013335456285
