"","x"
"lp__",2885.638328375
"alpha0",0.1205611600805
"alpha1",2.499434842575
"alpha21",0.3350723902505
"alpha22",0.19530448392125
"rho2",20.2952707380125
"sigma1",0.1425058761008
"sigma",0.022510048606
"beta[1]",-0.00559960762162735
"beta[2]",-0.12557843298005
"beta[3]",0.0357967451796447
"beta[4]",-0.0229781766512148
"beta[5]",0.0766166179896953
"beta[6]",0.0937146775366408
"beta[7]",0.0367798127370865
"beta[8]",0.0302971467606673
"beta[9]",0.00338071068648994
"beta[10]",0.0165171625109764
"beta[11]",-0.0107802407645858
"beta[12]",0.00218806957780685
"beta[13]",0.081434528317517
"beta[14]",0.177331814517802
"beta_sd",0.096432662971
