"","x"
"lp__",2992.409879275
"alpha0",0.1551519290385
"alpha1",2.377734804425
"alpha21",0.259413493773175
"alpha22",0.16232336865225
"rho2",23.645242349275
"sigma1",0.1488571019405
"sigma",0.02358356783325
"beta[1]",-0.00635912873710305
"beta[2]",-0.1169696457161
"beta[3]",0.0404950199061915
"beta[4]",-0.0174287831537747
"beta[5]",0.0997800706089989
"beta[6]",0.052893015924714
"beta[7]",0.023104972755975
"beta[8]",0.0800972535528258
"beta[9]",0.0010611140546348
"beta[10]",0.0432010775954945
"beta[11]",-0.0186336040804747
"beta[12]",0.0120878664995425
"beta[13]",0.0717828279969455
"beta[14]",0.18121590543025
"beta_sd",0.098268467323
