"feature","beta_name","avg_posterior_mean","avg_posterior_sd","avg_prob_positive","times_includes_zero","avg_rhat","min_ess_bulk"
"MPI_intensity","beta[1]",0.214402341784161,0.0574955024595947,0.997958333333333,0,1.00138448118467,3268.78396603365
"Waterways","beta[5]",-0.0464596542821572,0.0459052986817333,0.165,6,1.00100431723854,3190.69577011977
"currency_exchange_log","beta[2]",-0.0383287593610392,0.01868794754185,0.021,1,1.00186123706515,3625.72785890612
"food_inflation_cubic_intp","beta[4]",-0.00898595909950103,0.0464794047812093,0.421458333333333,6,1.00198365243179,3826.83836912437
"ndvi_value_cubic_intp","beta[3]",-0.0165653495409176,0.0361535713429584,0.363666666666667,6,1.00201273395145,3404.59839215524
