"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","iteration","cv_fold"
0.2485994,-0.063562076,0.013056446,-0.037401854,0.024635102,1,5
0.2181186,-0.062509024,-0.02772819,-0.042044282,-0.066010374,2,5
0.16395704,-0.010896161,0.0021570159,0.028642285,-0.059524694,3,5
0.26672928,-0.062916257,-0.011026556,-0.04570718,-0.035345437,4,5
0.16362215,0.0046845317,0.025513344,-0.014806487,-0.097896153,5,5
0.15720403,0.0053282643,0.00087878141,-0.036750929,-0.087915806,6,5
0.18944705,-0.018230296,-0.029288929,-0.060370896,-1.8163848e-05,7,5
0.25631085,-0.038559036,0.014793468,-0.017176578,-0.13341634,8,5
0.20057121,-0.016810795,-0.041859429,0.012016236,0.041428387,9,5
0.16530942,-0.027239688,-0.069794703,-0.0058756891,0.02626529,10,5
0.22974492,-0.031486927,0.081009097,-0.049626001,-0.026578011,11,5
0.17323079,-0.045261552,-0.086003864,0.04910402,-0.080442649,12,5
0.21650151,-0.032471171,-0.010412305,-0.040461759,0.013364051,13,5
0.225429,-0.049584582,-0.012544583,-0.034814898,-0.00051222191,14,5
0.15834913,-0.028345925,0.015239549,0.010176137,-0.10708958,15,5
0.12330757,-0.050565406,-0.01259414,0.047497658,-0.013155151,16,5
0.15550243,-0.026537144,0.018509227,-0.043642585,-0.11707812,17,5
0.15414672,-0.047548299,-0.021747723,0.041260916,-0.084621638,18,5
0.12696644,-0.030779769,0.013848032,0.019664552,-0.068223559,19,5
0.26631123,-0.023233296,-0.024689137,0.017606903,-0.086330921,20,5
0.1575864,-0.059086358,0.021308367,-0.03154438,-0.040178392,21,5
0.2727221,-0.027079656,-0.06249216,-0.0030293051,-0.036600135,22,5
0.19916707,-0.043284928,0.008276709,-0.14069551,-0.042513452,23,5
0.23329029,-0.029435379,-0.037820224,0.1162486,-0.066414684,24,5
0.22156762,-0.044914972,-0.014953241,0.050008451,-0.079111658,25,5
0.16067225,-0.04042542,-0.024605245,-0.081373994,-0.012809231,26,5
0.29373876,-0.03777848,0.017001354,0.017250769,-0.047861939,27,5
0.11168529,-0.038705006,-0.0061323415,-0.027852327,-0.056579273,28,5
0.28909938,-0.052110046,0.0099353631,0.01255258,-0.06488866,29,5
0.27865325,-0.028609319,-0.0131889,0.064385454,-0.09615946,30,5
0.18510719,-0.023654337,-0.00917725,-0.010558412,0.031142966,31,5
0.24929039,-0.021538613,-0.034540949,0.007531699,-0.019918331,32,5
0.19198704,-0.042243043,0.017141045,0.013966924,-0.080689769,33,5
0.25383564,-0.062838052,-0.0093897345,-0.043639355,-0.0094906013,34,5
0.25701009,-0.060742391,-0.020015595,-0.041849044,-0.073048571,35,5
0.11505874,-0.027422764,-0.0049595203,0.07630868,-0.01162767,36,5
0.16693465,-0.025437926,-0.00060569902,0.025437582,-0.033844704,37,5
0.15406721,-0.057475805,0.021763714,0.030027408,-0.0051946135,38,5
0.13355542,-0.02358743,-0.014704209,0.033312733,-0.087847683,39,5
0.22592734,-0.039893503,0.016466703,-0.064093906,-0.036439239,40,5
0.16033352,-0.038308397,0.039379339,-0.12179576,-0.092677958,41,5
0.25737593,-0.031783799,-0.032003338,0.036777064,0.069976099,42,5
0.21284294,-0.04919294,0.02233698,-0.057494269,-0.089021775,43,5
0.26793446,-0.050344193,0.099790091,-0.062928028,-0.046522853,44,5
0.16270497,-0.029468333,-0.099917518,0.060118038,-0.077571998,45,5
0.21177521,-0.049835676,-0.022803872,-0.042361129,-0.026121198,46,5
0.20172891,-0.04826308,-0.035982327,-0.011245982,-0.041797631,47,5
0.14335272,-0.023173231,-0.031788527,-0.026622901,-0.033626112,48,5
0.13467103,-0.079429837,-0.017059679,-0.015489457,-0.035540569,49,5
0.31266705,-0.026845236,-0.053576936,-0.057440003,-0.15501439,50,5
0.11619083,-0.041428009,0.0029540361,-0.019113646,-0.1275767,51,5
0.21791388,-0.027715899,-0.009587423,-0.017859384,-0.0029432711,52,5
0.26195057,-0.039699487,-0.029797321,-0.019410873,0.094192438,53,5
0.18852016,-0.053103158,-0.036996876,0.069814105,-0.041368622,54,5
0.15083693,-0.022255148,-0.046647903,-0.070700957,-0.027538466,55,5
0.22926222,-0.061608348,0.026532791,0.045807808,-0.060543948,56,5
0.2342848,-0.012263752,-0.052996047,-0.032357864,-0.084058407,57,5
0.2257727,-0.059060725,0.00056764974,0.0014784711,-0.023500301,58,5
0.29747921,-0.064557809,-0.0059115282,0.019448916,-0.064479032,59,5
0.21077908,-0.03293014,-0.022058631,0.044666574,-0.1323995,60,5
0.19099582,-0.03498354,-0.0052015256,-0.032512467,-0.12813396,61,5
0.19401721,-0.054990223,-0.024870142,0.064495465,-0.051633169,62,5
0.26243619,-0.040639239,-0.0025121803,0.007863435,-0.046963623,63,5
0.17239867,-0.033187339,0.023278646,0.074313933,-0.1009725,64,5
0.12777809,-0.0022768523,0.014789195,0.020562603,-0.079987366,65,5
0.22627131,-0.045261404,-0.028264901,-0.054079486,-0.050408313,66,5
0.24706199,-0.062781991,-0.011478681,-0.081891444,-0.10966172,67,5
0.22887132,-0.059299373,-0.05571196,-0.073830709,-0.062197305,68,5
0.24767176,-0.053065721,-0.061239038,-0.073304867,-0.076410197,69,5
0.11988408,-0.014910738,0.058576022,0.014947043,-0.02555873,70,5
0.12897764,-0.016677717,-0.028536285,-0.0097131222,-0.062641608,71,5
0.17824526,-0.038249561,-0.025726314,-0.082193279,-0.079839404,72,5
0.26875134,-0.055271506,0.032363478,0.030505034,-0.141547,73,5
0.16488792,-0.024152045,-0.049864964,0.031805991,-0.013263396,74,5
0.19393897,-0.037910387,-0.025127214,-0.075154957,-0.062066745,75,5
0.20408202,-0.043646223,-0.025750889,-0.11936503,-0.048400606,76,5
0.18509346,-0.037777798,-0.017690036,-0.13788669,-0.10497733,77,5
0.27640422,-0.036882987,0.030006709,0.13095101,0.047130731,78,5
0.20912152,-0.033719716,-0.00050446867,-0.12174369,-0.13006189,79,5
0.24516727,-0.053073356,-0.015412932,0.063130888,0.0043496113,80,5
