"cv_fold","n_observations","coverage_95","mean_abs_residual","rmse"
1,252,100,0.0669109429801482,0.0746989652417969
2,252,100,0.0410905388150864,0.0547983130775363
3,252,100,0.0745778218619732,0.0855565805475692
4,252,100,0.0839654449109383,0.0925557744747093
5,252,100,0.0786917075711139,0.0848505537907583
