"cv_fold","observation_id","y_true","y_pred_mean","y_pred_sd","y_pred_median","y_pred_ci_2.5","y_pred_ci_97.5","y_pred_q25","y_pred_q75","residual","in_ci_95","len_ic_95","adm1_code","adm1_name","Datetime"
1,103,0.312000491387608,0.416981132377408,0.135272126361534,0.409911289411693,0.175369697304998,0.704301383890565,0.319291617695686,0.504639727129652,0.1049806409898,TRUE,0.528931686585568,2215,"Benue",2023-07-05
1,104,0.310713320355852,0.410913431853653,0.135018993530191,0.403061792873947,0.172591626010166,0.698727729053173,0.312912090747452,0.500954298422461,0.100200111497802,TRUE,0.526136103043007,2215,"Benue",2023-07-12
1,105,0.32542949806858,0.413102258731951,0.135698787703057,0.404939511591163,0.170206745869147,0.701409214915857,0.315438625721177,0.502691865774866,0.0876727606633706,TRUE,0.531202469046709,2215,"Benue",2023-07-19
1,106,0.346236064218189,0.425507054293454,0.136659659951232,0.418951864939612,0.179991037669321,0.714186055740768,0.326476213910098,0.517474852891925,0.0792709900752647,TRUE,0.534195018071447,2215,"Benue",2023-07-26
1,107,0.342066919858716,0.433064441793784,0.137265507281201,0.427075870307919,0.185340866540583,0.719523824285568,0.334959050696379,0.524761678397646,0.090997521935068,TRUE,0.534182957744985,2215,"Benue",2023-08-02
1,108,0.340843229936827,0.436125630389683,0.137370026709196,0.42925800674428,0.188643089212291,0.720951638872762,0.337365476496846,0.526622009979885,0.0952824004528556,TRUE,0.532308549660471,2215,"Benue",2023-08-09
1,109,0.334614417606516,0.447620946620175,0.138081100386222,0.443762733173458,0.195458617804392,0.731762033472203,0.348864902884072,0.540032133187773,0.113006529013659,TRUE,0.536303415667811,2215,"Benue",2023-08-16
1,110,0.33143082489451,0.460460039595034,0.138861779802439,0.456686717575639,0.204794918682788,0.742048658327112,0.361721025425177,0.553936714167508,0.129029214700524,TRUE,0.537253739644324,2215,"Benue",2023-08-23
1,111,0.359862233698539,0.469671163416466,0.139153833412611,0.466300804968618,0.20800291868436,0.752758793306613,0.37201726911175,0.565311141368798,0.109808929717927,TRUE,0.544755874622254,2215,"Benue",2023-08-30
1,112,0.372455970645293,0.479917001011321,0.139602183974037,0.477961623566647,0.215722650507316,0.761343134488272,0.382308882146811,0.576346975199467,0.107461030366028,TRUE,0.545620483980956,2215,"Benue",2023-09-06
