"","x"
"lp__",3080.624392325
"alpha0",0.1713383588215
"alpha1",2.205393268675
"alpha21",0.2686805598475
"alpha22",0.15129980326775
"rho2",23.545749700105
"sigma1",0.20692975602575
"sigma",0.02107978455725
"beta[1]",0.000830859240928493
"beta[2]",-0.09939248783645
"beta[3]",0.04192771149009
"beta[4]",-0.0289853020749168
"beta[5]",0.0757222343671685
"beta[6]",0.00702372661908075
"beta[7]",0.0504591695556345
"beta[8]",0.06618578522786
"beta[9]",0.0041064024055786
"beta[10]",0.038751507930784
"beta[11]",-0.00733509377636868
"beta[12]",0.00906823746035738
"beta[13]",0.0824068148544005
"beta[14]",0.173388541644028
"beta[15]",0.0482044330793325
"beta[16]",-0.0129464034508392
"beta_sd",0.086934933319
