"adm1_name","Easting","Northing","Datetime","fcs","cv_ind","rainfall_3_months_anomaly_cubic_intp","ndvi_value_cubic_intp","ndvi_anomaly_cubic_intp","log_currency_exchange","log_Area","MPI_intensity","Muslim","log_food_inflation_MPI","log_fatalities_explosions","MPI","n_conflicts_Battles_rolsum_90days","log_fatalities_battles","headline_inflation_cubic_intp","day_num","Ramadan_past90days_Muslimpop"
"Abuja",1415.18938279335,-4531.24647009396,"2022-10-05",0.0863476233454494,0,1.14500078510899,0.703678625270525,0.962660951040737,6.07043745197727,0.474507102204131,38.6,0.49,0.587578404293424,0,0.186,4,3.61091791264422,20.9513535573314,1,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-10-12",0.0815624957401514,0,1.1574016128748,0.691110384281784,0.959688240720744,6.0759665281957,0.474507102204131,38.6,0.49,0.588494894201494,0,0.186,7,3.66356164612965,21.0449815933777,2,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-10-19",0.0903787991598815,0,1.12184229403935,0.673985010381623,0.95649285734233,6.07988742745788,0.474507102204131,38.6,0.49,0.589558009198546,0,0.186,7,3.66356164612965,21.1540733904655,3,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-10-26",0.087016224029164,0,1.1606488743148,0.653874185894223,0.95293824606545,6.08119098498184,0.474507102204131,38.6,0.49,0.590647318833591,0,0.186,5,1.6094379124341,21.2688481948402,4,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-11-02",0.0937405247165983,0,1.25373204755322,0.629553296679116,0.94852077289306,6.08534188269933,0.474507102204131,38.6,0.49,0.591562673508405,0,0.186,5,1.6094379124341,21.3716762186163,5,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-11-09",0.0937348605679757,0,1.31010430115784,0.599554055973161,0.942999791436549,6.08856857155596,0.474507102204131,38.6,0.49,0.592105042119268,0,0.186,4,1.09861228866811,21.4446900910365,6,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-11-16",0.104472333027666,0,1.30074148978153,0.566499432920349,0.937340054296506,6.09173965396592,0.474507102204131,38.6,0.49,0.592076366674142,0,0.186,4,1.09861228866811,21.4700469869631,7,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-11-23",0.110958715948653,0,1.33519654915365,0.532069360233575,0.932347527264114,6.09537401049849,0.474507102204131,38.6,0.49,0.591419944130906,0,0.186,4,1.09861228866811,21.4423732559891,8,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-11-30",0.125180372823798,0,1.4420859640472,0.497449546553461,0.928575770645186,6.09681506271581,0.474507102204131,38.6,0.49,0.590456887450887,0,0.186,4,1.09861228866811,21.389014558566,9,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-12-07",0.144168782453353,0,1.4391793295075,0.464332238253593,0.926488019534988,6.09877066884622,0.474507102204131,38.6,0.49,0.589574457843099,0,0.186,4,1.09861228866811,21.3426184089674,10,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-12-14",0.167370401388697,0,1.49466862786741,0.432946575473156,0.926506831143529,6.10022926189937,0.474507102204131,38.6,0.49,0.589166731381824,0,0.186,3,1.09861228866811,21.3358323214673,11,0
"Abuja",1415.18938279335,-4531.24647009396,"2022-12-21",0.178176625256229,0,1.535279,0.4037,0.928635,6.10134981063722,0.474507102204131,38.6,0.49,0.589551317560575,0,0.186,3,1.09861228866811,21.3947788132211,12,0
