"","x"
"lp__",2998.91693615
"alpha0",0.15603076137225
"alpha1",2.5258174829
"alpha21",0.2559540234385
"alpha22",0.1550814310945
"rho2",23.31761741915
"sigma1",0.20780642855425
"sigma",0.0229962354805
"beta[1]",-0.00466319400308997
"beta[2]",-0.10677408663725
"beta[3]",0.035895264471045
"beta[4]",-0.0234397639559773
"beta[5]",0.09181931343353
"beta[6]",-0.00584453618190175
"beta[7]",0.049669034612119
"beta[8]",0.0614921743839675
"beta[9]",-5.15030608864499e-05
"beta[10]",0.035030331034638
"beta[11]",-0.014931254629702
"beta[12]",0.00795048691869943
"beta[13]",0.071381488406983
"beta[14]",0.20609761429135
"beta[15]",0.0510782681785094
"beta[16]",-0.0141348947882794
"beta_sd",0.094434480985
