"","x"
"lp__",3021.016446675
"alpha0",0.161859966206
"alpha1",2.397543924825
"alpha21",0.256992905134
"alpha22",0.1512909110365
"rho2",23.30570460065
"sigma1",0.185020936948525
"sigma",0.02362742385875
"beta[1]",-0.00290107850519063
"beta[2]",-0.1273815158435
"beta[3]",0.0363974937348842
"beta[4]",-0.0191703551027179
"beta[5]",0.0864166462001977
"beta[6]",-0.00190587847753497
"beta[7]",0.0783724451771735
"beta[8]",0.0985914350498495
"beta[9]",0.00264407516722524
"beta[10]",0.0556452947388408
"beta[11]",-0.00959803012243325
"beta[12]",0.0088611503942455
"beta[13]",0.0487308689877465
"beta[14]",0.226723427506273
"beta[15]",0.0768748633834297
"beta[16]",-0.0294276952864592
"beta_sd",0.107490357653
