"","x"
"lp__",3020.247821775
"alpha0",0.165680072618
"alpha1",2.384572106675
"alpha21",0.29519768540325
"alpha22",0.147214641699
"rho2",24.3153530567475
"sigma1",0.2163630585055
"sigma",0.02283860966275
"beta[1]",-0.00219873341212954
"beta[2]",-0.11018113161975
"beta[3]",0.0350670108190708
"beta[4]",-0.0160998153155353
"beta[5]",0.0890115223219555
"beta[6]",-0.0098678191713573
"beta[7]",0.043243421084711
"beta[8]",0.082083447245644
"beta[9]",0.00507295128498922
"beta[10]",0.0405011333398912
"beta[11]",-0.0153399694552239
"beta[12]",0.0066402220846224
"beta[13]",0.0809882362539208
"beta[14]",0.196283808817975
"beta[15]",0.0452498123834092
"beta[16]",-0.00433279436945775
"beta_sd",0.094959685869
