"","x"
"lp__",2888.5479598
"alpha0",0.11837830521675
"alpha1",2.516428570075
"alpha21",0.3315689019845
"alpha22",0.19939171999625
"rho2",19.92056147065
"sigma1",0.1441893459502
"sigma",0.02257643096475
"beta[1]",-0.0059934465604823
"beta[2]",-0.1248074700651
"beta[3]",0.033837607394345
"beta[4]",-0.02336120847178
"beta[5]",0.0723400709152276
"beta[6]",0.0147605068192045
"beta[7]",0.0616703792760488
"beta[8]",0.0269551641364238
"beta[9]",0.00293711133842
"beta[10]",0.0122607137026997
"beta[11]",-0.0106724903871986
"beta[12]",0.00218565240086772
"beta[13]",0.0910261850754925
"beta[14]",0.193268695437808
"beta[15]",0.0623318358418718
"beta[16]",-0.01617030459204
"beta_sd",0.0923338408565
