,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
0,0.027961587905883788,0.0008328958143680942,0.0020653724670410155,5.1537560665714686e-05,0.05,3,100,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.08240265403294869,-0.030332560286500276,-0.062271749171134816,-0.0446806166988381,-0.0479496042954138,-0.05352743689696714,0.01765005329692803,13,-0.01915240199225289,-0.018795708066481853,-0.01935759705712504,-0.018463782288139732,-0.018447665604411256,-0.018843431001682155,0.0003641073137138282,-0.22263975890077403,0.8685072542769574,0.5644407152373627,0.7795902441186928,0.7372585161360075,0.5454313941736493,0.396560379660353,15,0.9562666119209273,0.9559670573645878,0.9489116014007272,0.9566584718622376,0.9577798376311248,0.955116716035921,0.0031628473316400283,-0.09834065636697098,-0.038076787673541564,-0.08323244294100188,-0.05313640812049599,-0.05516800454610744,-0.06559085992962357,0.021929651498186282,12,-0.023925009992198255,-0.02373427804907026,-0.02401758520684636,-0.023058889382560278,-0.022908027533636764,-0.02352875803286238,0.00045700962781332577
1,0.02685708999633789,0.00032882810745107655,0.0019412040710449219,0.00018301591570723654,0.05,3,100,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.08443829719081399,-0.03030690631087944,-0.06093791958764024,-0.04500893689247122,-0.048065452582441506,-0.053751502512849283,0.018175459644760215,15,-0.01915354472835768,-0.019040047698782453,-0.01959470872918417,-0.0186874698529348,-0.01835020070675317,-0.018965194343202454,0.0004225435646072927,-0.24624677415221674,0.8664116294362012,0.5845540637623825,0.7747037911916006,0.7365277023094792,0.5431900825094893,0.40506091653882687,16,0.955624194062024,0.9540500913978321,0.9477120548139226,0.9557537320342453,0.9579356949688081,0.9542151534553664,0.003478867230896399,-0.09928550954095794,-0.03837900679773798,-0.0812879668657209,-0.053722192532922604,-0.05524467600104254,-0.0655838703476764,0.021772101749033986,11,-0.024100091567427134,-0.024245408014794016,-0.024297913570957234,-0.02329831961135912,-0.022865705511044526,-0.023761487655116403,0.0005750712257667346
2,0.05244741439819336,0.0004328891654817386,0.0016445159912109376,0.00010080168351817274,0.05,3,200,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-0.08233826226387976,-0.03034933635977661,-0.06242144318124333,-0.045126485442538534,-0.04598940448966429,-0.05324498634742051,0.017739167832613287,10,-0.014601015029310365,-0.013883000524213169,-0.014892358746117745,-0.014016197499414337,-0.013818449844694602,-0.014242204328750044,0.0004268770802272153,-0.22355660828181545,0.8672720410125979,0.563805623762277,0.767073362676419,0.7613101815855372,0.5471809201510032,0.3977373683831121,13,0.9742998000246459,0.9757135121494352,0.9689452256616774,0.9751291969583099,0.9756671816647378,0.9739509832917612,0.0025541853823818597,-0.09837752195731976,-0.038255212021063564,-0.08329310168701083,-0.05462436050107973,-0.052582338724423555,-0.06542650697817949,0.022022365408535347,8,-0.018340611737955183,-0.017626639743318656,-0.01872545521494493,-0.01746751722655981,-0.017390975918814104,-0.017910239968318538,0.0005283679447563781
3,0.050786828994750975,0.0006403669095206081,0.0017348766326904298,0.00020516040503513441,0.05,3,200,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-0.08343288012012243,-0.030683396284947866,-0.06104210577516598,-0.04496047984805865,-0.04534626683207599,-0.05309302577207418,0.017955704975228796,8,-0.015055359937706765,-0.014090600940337013,-0.015015965742241575,-0.014511060970440475,-0.014702143142591747,-0.014675026146663517,0.0003549834736192828,-0.2342028643159617,0.8626649665990196,0.586808434328963,0.7655424224955416,0.7660216183138598,0.5493669154842845,0.40179851818334017,12,0.9727258750893512,0.9743580359125324,0.9682934506990454,0.9726731208991679,0.9720439399211185,0.9720188845042431,0.002013900447867395,-0.09880459000856574,-0.038913480253547385,-0.08106711685682441,-0.05480357930437551,-0.05206079764900549,-0.0651299128144637,0.021692001419903458,4,-0.018893872417721277,-0.018111850090312773,-0.018920938972633777,-0.018309702751611402,-0.01864085075704567,-0.018575442997864976,0.0003195556919800113
4,0.043646383285522464,0.0009815676790826012,0.0020546913146972656,6.744254362347357e-05,0.05,5,100,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-0.07442495128735395,-0.036625947276480865,-0.062044449475617096,-0.044573592555766164,-0.047004552180804925,-0.05293469855520459,0.013534168774997104,7,-0.011403354937257134,-0.011189575182955203,-0.011800393093393037,-0.011706776883867053,-0.010602972122855957,-0.011340614444065675,0.0004280973629026363,0.042780472287945015,0.8099482102120086,0.5124749341428847,0.7774246929800896,0.740303128480065,0.5765862876205986,0.28658540440560115,5,0.9835644565019032,0.9837672341641197,0.9801996914690106,0.9816260826817932,0.9850389203955686,0.9828392770424792,0.0017125812742890699,-0.08701409754400326,-0.04577679545295853,-0.0880577285333846,-0.05339680572778838,-0.05484743351481942,-0.06581857215459083,0.01800094081178472,13,-0.014666875345072893,-0.014410645443820981,-0.014952168207074467,-0.015013679995288446,-0.013636697718621586,-0.014536013341975676,0.0004985901859410216
5,0.0431675910949707,0.0011747884494790891,0.0020530223846435547,0.0001034663017572431,0.05,5,100,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-0.07304516336544843,-0.03828332012270042,-0.061914433348341055,-0.04274923420186663,-0.04688804270864345,-0.0525760387494,0.012956788711327672,1,-0.011118642432529273,-0.010927206197911031,-0.011365571466317097,-0.011533294623310786,-0.010714817850729532,-0.011131906514159544,0.0002938546690220766,0.06617625506195912,0.7942232429617314,0.5310814008344871,0.7942042228036441,0.7426544881829867,0.5856679219689618,0.27730083769338365,2,0.9846432737992141,0.9842695558032724,0.9808983985199667,0.9823625570292162,0.9846435119536532,0.9833634594210645,0.0014950452051148162,-0.0859441462599124,-0.04763295937831337,-0.08636101405399144,-0.051344628590939946,-0.054598567797008064,-0.06517626321603305,0.017268861575175803,5,-0.014177344300309157,-0.014185925159719158,-0.01468598517035855,-0.014709709208042975,-0.013815725629293004,-0.014314937893544568,0.00034009105826221986
6,0.08281359672546387,0.0006806848946886852,0.0022458553314208983,5.760844143308243e-05,0.05,5,200,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-0.07397705032351518,-0.03691095618096067,-0.06190435064893191,-0.045515275567387034,-0.04620352971107783,-0.052902232486374524,0.013269112612018505,5,-0.007358951187277943,-0.0072002341454184245,-0.007436916143484084,-0.007532167701584222,-0.006828200942998089,-0.0072712940241525525,0.0002467997265672908,0.03875752477504535,0.8069516102580784,0.5220285005128161,0.7659030338424171,0.7461833137248507,0.5759647966226416,0.28632378963686084,6,0.993136506847852,0.9932624763654709,0.9920182428997084,0.9925683937427713,0.9938391023178362,0.9929649444347278,0.0006221908330582541,-0.08719675476744598,-0.046136271799902775,-0.08719066787772528,-0.05476141731130005,-0.05422293685047728,-0.06590160972137027,0.017651464924059918,14,-0.0094780319466971,-0.009284046819608274,-0.009493305324791689,-0.009548334435086722,-0.00875084003387091,-0.009310911712010938,0.00029392793652726723
7,0.0800588607788086,0.001383842485646612,0.002139759063720703,0.00013723804183465933,0.05,5,200,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-0.07214122538483694,-0.03829633642959485,-0.062417572659700105,-0.043635019413558074,-0.046773851651047915,-0.052652801107747574,0.012626479760560368,2,-0.007837092991588872,-0.00747217802233706,-0.007720799337207277,-0.007839900399732121,-0.0071898821255980605,-0.007611970575292679,0.0002498705360122925,0.07149325622556701,0.7943392439422723,0.5220588895815594,0.7835666701304653,0.7454319424453935,0.5833780004650515,0.27445497064833635,3,0.992350966514768,0.9926206024951759,0.9912160919888782,0.991962886823851,0.9929194344082339,0.9922139964461814,0.0005900171769372369,-0.08569912279962978,-0.0476195316010441,-0.08718789607509722,-0.05265490793305665,-0.054303135380494555,-0.06549291875786448,0.017253674768006,10,-0.010005731553863155,-0.00971622635062749,-0.00995891635634104,-0.009929704355236565,-0.009381271868990152,-0.00979837009701168,0.00023097233143579143
8,0.027773094177246094,0.0007481229213700263,0.0017284870147705079,0.00022394693558983232,0.1,3,100,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.08384944101219725,-0.03180070234196527,-0.06091336337684773,-0.046132486194529816,-0.046110373120459326,-0.05376127320919988,0.017637752531461683,16,-0.014680407527532878,-0.01336965442225118,-0.01450171387153109,-0.014111608621304627,-0.01425021476408868,-0.01418271984134169,0.00045169413771166487,-0.24107576363216476,0.8518720876739971,0.6008801843080611,0.7609916438568658,0.7592084743774692,0.5463753253168457,0.40192944218458776,14,0.9742105468945318,0.977506557530572,0.9706698490904804,0.9748658524984153,0.9742578204612203,0.974302125295044,0.002181281928586565,-0.09907931438852152,-0.04041362955483046,-0.07967473889843574,-0.05533288692565105,-0.05281332988097043,-0.06546277992968183,0.02108143458145946,9,-0.01837243130045544,-0.016963487155933082,-0.01819807053713958,-0.017559751104592083,-0.01788753120206098,-0.017796254260036233,0.0005002404571420043
9,0.02610936164855957,0.0007654653489299468,0.0018628597259521484,3.718125319452503e-05,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.08318447475170243,-0.029732901230961294,-0.06161449778715228,-0.044609164951970315,-0.045416395775720396,-0.052911486899501335,0.018190920626940082,6,-0.014981863076814803,-0.013967820546717396,-0.014930609919934506,-0.01409346022303142,-0.014148907579570892,-0.014424532269213803,0.0004383823637944265,-0.22221487576891596,0.8694962732487181,0.5848532074757402,0.7710345875303894,0.7646472112272129,0.553563280742629,0.398616271211817,10,0.9724499783251316,0.9750039749383935,0.9679656498132725,0.9746345512837234,0.9738498803239423,0.9727808069368926,0.0025619113048156845,-0.09832356755710242,-0.03793332065223708,-0.08125869571264514,-0.05415788908798934,-0.05221347833606597,-0.06477739026920801,0.02185501865363262,2,-0.01898919430005776,-0.017882269955972235,-0.019018495349359624,-0.01764036434481937,-0.018028707271049615,-0.018311806244251723,0.0005785749295151363
