"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","beta[15]","beta[16]","iteration","cv_fold"
-0.011309206,-0.13893067,0.040880539,-0.032311938,0.12291907,0.095857291,0.1091363,0.17361301,-0.0016854059,0.0082668985,-0.015028504,0.016836497,0.040704339,0.23530567,-0.10800453,-0.016924039,1,4
-0.0021835499,-0.15565,0.04099641,0.0045693321,0.1287564,-0.011480839,0.070562889,0.038221357,-4.3672549e-05,-0.057570964,-0.022050833,0.0053240521,0.043918544,0.22375649,0.013659794,-0.034213687,2,4
-0.0037984851,-0.10582256,0.034176628,-0.016949149,0.17655898,-0.094174794,-0.017311354,0.20284689,0.00017020606,0.099244236,-0.011164246,0.012395872,0.094021422,0.15371949,0.10289257,0.0066020185,3,4
-0.0021430311,-0.091963993,0.033095067,-0.030830248,0.25539244,-0.11994938,-0.084357182,0.17532702,0.002000198,-0.011835523,-0.0077683683,0.011909919,0.086755225,0.17426632,0.1129719,-0.0019320297,4,4
-0.0052413401,-0.10172031,0.039932441,-0.014959331,-0.025478805,0.13381989,0.093114056,-0.15490578,-0.0014426999,0.13450231,-0.028469713,0.0067656075,0.10572519,0.20435353,0.1171625,-0.019328844,5,4
-0.0054965404,-0.10651124,0.026839352,-0.043731417,0.32213241,0.055915618,-0.041991847,-0.20752347,0.0011560912,0.094746841,-0.0063101696,0.0041939595,0.081801614,0.30095956,0.042731117,-0.010327479,6,4
-0.0057181718,-0.12435822,0.050969654,-0.022341013,0.010405628,0.01299979,0.085982017,0.092012534,0.00026906256,-0.067001664,-0.021895321,0.0085879231,0.046939301,0.18397679,0.078929497,-0.029242789,7,4
-0.0035087424,-0.092831599,0.020735706,-0.044498791,0.15749115,-0.039066752,0.013705069,-0.036665775,-0.0007787302,0.1009295,-0.013615232,0.0094095255,0.1040311,0.21009989,-0.0098716856,-0.006043323,8,4
-0.0073489538,-0.095519659,0.033313999,-0.029061631,0.11724809,0.15871187,0.11313916,-0.060153911,-0.0014727771,0.049036802,-0.020241481,0.004853347,0.17470041,0.113663,0.10958323,-0.022937623,9,4
-0.00069017865,-0.10452647,0.029352649,0.016761954,0.24200533,-0.17577075,0.041561102,0.15664041,0.0013155671,-0.0025855651,-0.01580284,0.015381773,0.055479804,0.17155103,-0.032860709,-0.0073108293,10,4
-0.0056219117,-0.13987534,0.0465204,0.0077599989,0.11412687,0.016262657,0.12788023,0.095397508,0.0010268156,0.032101232,-0.0154355,0.0039569164,0.035111142,0.24678785,0.034243203,-0.0087241346,11,4
-0.00072715527,-0.10413557,0.023162064,-0.031650159,0.0018484265,-0.09758828,0.026294291,0.10379571,0.0013573048,0.056763316,-0.0067359466,0.013553025,0.13355632,0.066397199,0.012735435,-0.0061143187,12,4
-0.0049500144,-0.084477619,0.041202085,-0.019298534,0.15899849,0.06035916,0.050012413,-0.045709702,-0.0031452238,-0.061719925,-0.014442524,0.0046963591,-0.0093156023,0.24959911,0.062109319,-0.015815406,13,4
-0.0018620222,-0.04844948,0.013177502,-0.01766531,0.094242452,-0.043362476,0.023576873,0.12945235,-0.00048600685,0.12155766,-0.0074527389,0.0088862151,0.083490934,0.28835111,0.11640473,-0.0021663445,14,4
-0.0061062107,-0.14109686,0.037459449,-0.037250886,0.029649129,0.039443681,0.078897532,0.019489698,0.00032480319,-0.010033746,-0.024239115,0.0089216288,0.10375749,0.12977859,-0.0087169363,-0.014866507,15,4
-0.0075339828,-0.069991462,0.035263285,-0.017427228,0.1056549,-0.044878099,0.020696713,0.089123387,0.00071694019,-0.031117224,-0.011470241,0.0005418454,0.037577984,0.19718167,0.13084465,-0.01443051,16,4
0.0038582785,-0.098281602,0.011120196,-0.0063664792,0.025985036,0.054132077,0.072972367,-0.080346297,0.001347731,-0.0089638803,-0.0092614728,0.01383282,0.12180911,0.10249632,-0.013028073,-0.0098047703,17,4
-0.011370538,-0.041603361,0.032439602,-0.042428706,0.050070474,-0.090796376,0.022165988,0.13822656,0.00045190863,-0.00049604378,-0.015689529,-0.00028573697,0.067776214,0.25632406,0.065509539,-0.01421028,18,4
0.00011831523,-0.1107721,0.027565621,-0.011984819,0.097495286,0.19232685,-0.091568304,0.032909452,0.0076994911,0.028320696,-0.010010826,0.012585461,0.023830349,0.28180759,0.18214849,-0.0086205122,19,4
-0.0099614319,-0.10375437,0.061686846,-0.022580383,0.23375916,-0.16190008,0.11809193,0.13076456,-0.0073309999,-0.050167337,-0.031460726,0.012494834,0.065992093,0.17964934,-0.025039034,-0.013668297,20,4
-0.00010938995,-0.12928871,0.01427639,-0.02762949,-0.042987673,0.088295438,1.0357975e-05,0.01864194,0.00064657233,-0.013513915,-0.00086566229,-0.00081727043,0.023082125,0.33189532,0.11689462,-0.019171887,21,4
-0.011097031,-0.076507529,0.051986478,-0.03106349,0.18653542,0.099739383,0.0059656102,0.031091878,0.00063553694,-0.054070254,-0.035188449,0.01940221,-0.0067900839,0.2447177,0.094299207,-0.03358075,22,4
-0.0034897572,-0.11524813,0.044311414,-0.040232925,0.14732763,0.011892186,-0.012766145,0.024935403,0.0024155386,0.040449468,-0.041398591,0.021493316,-0.045531611,0.24425337,0.095705416,-0.030196219,23,4
-0.0052542327,-0.12331422,0.028684596,-0.067514583,0.17172956,0.093075241,-0.012033129,0.028917946,0.0066799864,-0.017426771,-0.039120615,0.020806866,0.094969176,0.098591833,0.10131595,-0.021042484,24,4
-0.0050575738,-0.098295657,0.035124203,-0.024898115,0.11069824,-0.065078372,0.19158345,0.063771205,0.0055055521,0.089751492,-0.010348104,0.01192344,0.12846846,0.20570062,-0.01844684,-0.015801448,25,4
-0.0073061555,-0.11615087,0.021802738,-0.027801118,0.11170655,0.00060433839,0.12295158,0.021498464,0.0050923114,-0.078120465,-0.0090437018,0.015590239,0.071011134,0.19945389,0.095909483,-0.013085669,26,4
-0.0014036338,-0.14726638,0.042664352,-0.038655769,0.072971392,0.035467329,-0.11498176,-0.0055023608,-0.0081753495,0.070578243,-0.033606444,0.010420018,0.083956533,0.16519775,0.033952517,-0.017996689,27,4
-0.010339707,-0.12959805,0.0410758,-0.015306269,0.1027677,0.017211411,0.098776417,0.11586832,-0.00067810769,-0.034952062,-0.012501018,0.0088073327,0.063595696,0.13920497,0.11544789,-0.017135088,28,4
-0.0013262864,-0.11238341,0.046768637,-0.034252875,0.082568788,0.11000842,-0.11804018,0.082022621,0.00042657529,0.065682883,-0.0083086855,0.00047477332,0.022012562,0.37209786,0.12421777,-0.021809348,29,4
-0.0040972152,-0.1131051,0.049984654,-0.016832629,0.14892535,-0.0034551474,-0.0842168,0.079716827,-0.001204126,0.073333989,0.0021984555,0.00084554923,-0.010625076,0.33203734,0.14115731,-0.019703786,30,4
-0.0089716946,-0.16789534,0.046558842,-0.052924774,0.096154447,-0.18069349,-0.022652895,-0.085319354,-0.0033579809,0.30430016,-0.013122018,0.0083473461,0.067067038,0.282824,0.089113397,-0.021977848,31,4
-0.0037968352,-0.057159192,0.03551589,0.011278091,0.13152477,0.061033454,0.10752279,0.18638396,0.0081222104,-0.17492567,-0.022544467,0.0056809508,-0.0011513942,0.24114143,0.081845118,-0.022077346,32,4
-0.0036418543,-0.052290933,0.035516672,-0.02480985,0.20094695,-0.019214537,0.05639581,0.17684906,-0.0023343758,-0.12802331,-0.018861928,0.010840011,0.014810537,0.23904951,-0.017255615,-0.0060538918,33,4
-0.0060005019,-0.10560951,0.03182226,-0.020703567,0.10022174,0.15109154,-0.029905408,0.0024263186,0.0035895321,-0.038062319,-0.027946503,0.01303861,0.010648259,0.32972485,0.18539633,-0.0077613319,34,4
-0.0062113484,-0.14201145,0.042306326,-0.0055175693,0.17025267,-0.037688955,0.10997868,0.10289438,-0.0029390439,0.088416962,-0.0017851765,0.0079326256,0.0097468301,0.28396145,-0.039419643,-0.029805981,35,4
-0.0045107166,-0.12260491,0.034860543,-0.050404921,0.068405395,-0.073679682,0.19434658,-0.023775765,0.009153812,0.074698002,-0.014551418,0.0054165543,0.13855471,0.21097508,-0.00078449623,-0.019047848,36,4
0.0021239704,-0.07646601,0.048641987,0.010810143,0.078170211,-0.021189572,-0.054970985,0.072970379,0.00012934849,0.011106781,-0.0094307516,0.013928651,0.023518363,0.18530699,0.06533657,-0.015951279,37,4
-0.0086861972,-0.1079721,0.022615504,-0.041135423,0.11648407,-0.0055492638,0.15213518,-0.0018446993,-0.00074270995,-0.024784691,-0.015982326,0.0059191142,0.16287293,0.16103596,0.0025378805,-0.0027685099,38,4
-0.00076146448,-0.085174163,0.020458883,-0.02926182,0.31592278,0.062277836,0.058706742,0.012004918,0.004055181,-0.033798973,-0.01029006,0.011015555,0.14814927,0.14788654,-0.034600771,-0.021641045,39,4
0.0036414643,-0.077733128,-0.0074988885,-0.0029719105,0.19451479,0.07860427,0.093511371,0.065882408,-0.0020428227,-0.042791318,-0.010827662,0.0011689638,0.096594002,0.19033012,-0.038020296,-0.021173838,40,4
0.0037781833,-0.077840116,-0.0068265944,-0.0026820665,0.19709588,0.082049167,0.09011949,0.064617617,-0.0012421249,-0.052909809,-0.011296298,0.0003559369,0.099617455,0.18927924,-0.041434042,-0.02184565,41,4
0.0034668305,-0.07166517,-0.00095850749,0.0011831994,0.13311206,0.018435008,0.15981626,0.063402862,0.0035141811,-0.032042926,-0.014104071,0.00065761275,0.063077058,0.22300895,-0.062195229,-0.02662843,42,4
-0.012351904,-0.13773382,0.06169668,-0.054203592,0.075502941,-0.072530515,0.001651834,0.00784859,-0.0050880919,0.072741896,-0.018042538,0.0071783447,0.048034166,0.25282386,0.038695321,2.0158591e-05,43,4
0.0024556323,-0.12273179,0.028679604,-0.013241355,-0.0055397675,0.072976917,0.049640127,0.036847131,0.0002933572,0.084950261,-0.0078805861,0.0072712357,0.17696718,0.1733477,-0.02343082,-0.029676054,44,4
-0.0077178626,-0.081858581,0.028065797,-0.0121083,0.12215472,0.0026619107,0.01628288,0.11167374,-0.00029380345,-0.021581954,-0.020855355,0.013174537,0.044848715,0.25185988,0.064273255,-0.0051062237,45,4
