"cv_fold","feature","beta_name","posterior_mean","posterior_sd","posterior_median","ci_2.5","ci_97.5","prob_positive","prob_negative","includes_zero","prior_mean","rhat","ess_bulk","ess_tail"
0,"rainfall_3_months_anomaly_cubic_intp","beta[1]",-0.0059934465604823,0.00553601352935686,-0.0060501535,-0.0168235839,0.0048143118425,0.14025,0.85975,TRUE,0,1.00134305573492,8139.45333677077,2771.10750350968
0,"ndvi_value_cubic_intp","beta[2]",-0.1248074700651,0.0314503141773765,-0.125528085,-0.185900581,-0.063129509775,0.00025,0.99975,FALSE,0,1.00138131033792,4328.26226947653,2735.89540943535
0,"ndvi_anomaly_cubic_intp","beta[3]",0.033837607394345,0.0165600977478515,0.0339023865,0.001600865005,0.067357840575,0.97925,0.02075,FALSE,0,0.999872344336048,5042.52820502875,2769.3081484967
0,"log_currency_exchange","beta[4]",-0.02336120847178,0.020150128493159,-0.023697703,-0.062847231575,0.016842928925,0.12325,0.87675,TRUE,0,1.00104820468946,5319.74096820671,3189.54483981401
0,"log_Area","beta[5]",0.0723400709152276,0.0645972419963346,0.071358797,-0.054074257075,0.20242880525,0.87225,0.12775,TRUE,0,1.00146828754036,4230.54080503937,3097.90171392535
0,"MPI_intensity","beta[6]",0.0147605068192045,0.0739882455251178,0.0154230025,-0.1325693845,0.16348061575,0.583,0.417,TRUE,0,1.00127594869239,3062.27548615135,2465.87048863508
0,"Muslim","beta[7]",0.0616703792760488,0.0790010711562179,0.059884184,-0.0888191892,0.2332575945,0.79225,0.20775,TRUE,0,1.00194282479481,3178.20037153292,2262.27572824394
0,"log_food_inflation_MPI","beta[8]",0.0269551641364237,0.0760105295965761,0.02726337,-0.12530436675,0.18115985075,0.64375,0.35625,TRUE,0,1.00177442003241,2617.15747484019,2179.04373073477
0,"log_fatalities_explosions","beta[9]",0.00293711133842001,0.00538960445256984,0.00304612895,-0.007914620795,0.013278516125,0.70725,0.29275,TRUE,0,1.00231017208581,8840.14299057426,2905.13099309183
0,"MPI","beta[10]",0.0122607137026997,0.0774021887609948,0.01209825,-0.1452199155,0.16067999,0.574,0.426,TRUE,0,1.00288640061751,2491.66951909565,2260.30761840417
0,"n_conflicts_Battles_rolsum_90days","beta[11]",-0.0106724903871986,0.00991400175525885,-0.0108576785,-0.030193898125,0.00863476005250001,0.144,0.856,TRUE,0,1.00045351467809,5145.6298170586,3223.65853484547
0,"log_fatalities_battles","beta[12]",0.00218565240086772,0.00706243743874202,0.0022072277,-0.011607893275,0.015980825075,0.6215,0.3785,TRUE,0,1.00149170765348,6328.59259556722,2731.28456317331
0,"headline_inflation_cubic_intp","beta[13]",0.0910261850754924,0.0529010355395439,0.0899724225,-0.0114155174,0.1939993715,0.9575,0.0425,TRUE,0,1.00052468832533,3261.6943956092,2924.23423584485
0,"day_num","beta[14]",0.193268695437807,0.0713299751836283,0.19077903,0.062201149975,0.3375915105,0.9995,5e-04,FALSE,0,1.00080241005986,2368.27753580426,2630.69169442773
0,"Muslim","beta[15]",0.0623318358418718,0.0799778035267109,0.0600725185,-0.090866812875,0.2290154765,0.798,0.202,TRUE,0,1.00349710065125,3312.84186865177,2329.09530846094
0,"Ramadan_past90days_Muslimpop","beta[16]",-0.0161703045920399,0.0143706538966089,-0.016134027,-0.044703408925,0.011770250125,0.131,0.869,TRUE,0,1.00069205657435,5905.45124481129,2918.1358790765
