"feature","beta_name","avg_posterior_mean","avg_posterior_sd","avg_prob_positive","times_includes_zero","avg_rhat","min_ess_bulk"
"MPI","beta[10]",0.0371157511043168,0.0821604967251513,0.686041666666667,6,1.0013601110563,2491.66951909565
"MPI_intensity","beta[6]",0.00325893605046175,0.0823211810957019,0.536083333333333,6,1.00124405954393,2572.02920544879
"Muslim","beta[15]",0.0531373485981893,0.0815118944405295,0.753666666666667,6,1.00171804220321,2098.14590613761
"Muslim","beta[7]",0.0528415664365826,0.0820366962603728,0.7485,6,1.00150352596142,2376.44097338106
"Ramadan_past90days_Muslimpop","beta[16]",-0.0166221727382157,0.0115792094447602,0.116666666666667,5,1.00091050793568,4629.31591431651
"day_num","beta[14]",0.198356775080176,0.0744559246763287,0.998625,0,1.0006686693415,1693.13278526112
"headline_inflation_cubic_intp","beta[13]",0.0737816287136095,0.0551788913150255,0.903833333333333,6,1.00051892012641,3001.80824742888
"log_Area","beta[5]",0.084611273354099,0.0681390374676786,0.899083333333333,6,1.00136598060072,3236.6850193852
"log_currency_exchange","beta[4]",-0.0213997368116511,0.0204884679650502,0.149333333333333,6,1.00047136706721,4368.13604803643
"log_fatalities_battles","beta[12]",0.00786600857851944,0.00686689131963126,0.853125,6,1.00099234129452,5044.13148444371
"log_fatalities_explosions","beta[9]",0.00254359172266663,0.00543193141179379,0.668291666666667,6,1.00156606426938,8098.13366606546
"log_food_inflation_MPI","beta[8]",0.0681445754851365,0.0833043649209517,0.799541666666667,6,1.00218206467974,2515.77782067918
"n_conflicts_Battles_rolsum_90days","beta[11]",-0.0128186558666631,0.00951271325669629,0.112291666666667,5,1.0003416541307,4698.2274130563
"ndvi_anomaly_cubic_intp","beta[3]",0.0369825428192141,0.0148368442745039,0.991333333333333,0,1.00072780993442,4703.76526893475
"ndvi_value_cubic_intp","beta[2]",-0.114848621680175,0.0278300414592969,4.16666666666667e-05,0,1.00088874058357,3236.82287622234
"rainfall_3_months_anomaly_cubic_intp","beta[1]",-0.00362265197391925,0.00464552980246693,0.25075,6,1.00139895017184,7232.84525618551
