"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","beta[15]","beta[16]","iteration","cv_fold"
0.0051305086,-0.12593159,0.034619825,-0.0016679738,0.26012775,-0.1190042,-0.060173922,0.184503,-0.0018452804,0.019114342,-0.0068401444,0.0035891742,0.052746849,0.15443255,0.065413337,-0.037048641,1,1
-0.0022522694,-0.1201924,0.018764669,-0.0084788328,-0.071075689,0.094885447,0.11874649,-0.039941328,0.0076482679,0.13459153,-0.0096259638,0.01390344,-0.010188122,0.33104764,0.13611091,-0.031369666,2,1
-0.0056366827,-0.15725436,0.039279717,-0.027813835,0.16400378,0.1448235,0.088354438,0.043725809,-0.0042183077,0.0081115109,-0.022022747,0.011035348,0.095184783,0.22072979,-0.069869058,-0.042249626,3,1
-0.0055110465,-0.13994293,0.02686879,-0.032214967,0.19041462,0.17852992,0.010516105,0.02366729,-0.0021473034,-0.023559848,-0.030405697,0.018524003,0.042744618,0.23382864,-0.057973057,-0.044626894,4,1
-0.0015164487,-0.14965717,0.033356717,0.01070505,0.15301982,-0.056331788,-0.019620531,0.074385481,0.0056111434,0.0049823594,0.011255475,-0.00081229031,0.061075099,0.18763232,0.28236189,-0.027500089,5,1
-0.0035675506,-0.10806509,0.043835708,-0.036996868,0.036108625,0.059124198,0.27385252,0.023723708,0.0069929689,0.056503264,-0.023848666,0.025337184,0.085303239,0.24387754,-0.0557073,-0.02437065,6,1
-0.0032385004,-0.15355275,0.029996782,-0.0014180943,0.1793877,-0.21090479,0.094000684,0.24849076,-0.00016658066,0.036298765,0.0018986055,-0.0098118468,0.034617965,0.29083102,0.18433954,-0.028897616,7,1
-0.0063787526,-0.11594793,0.024747803,-0.0025406821,0.10142195,-0.060707105,-0.03406256,0.17811994,0.0055537439,0.026252037,0.0074978576,-0.0020292319,0.040294644,0.33107258,0.2158282,-0.030638518,8,1
-0.00024413837,-0.15064979,0.054069109,-0.028532419,0.041037057,0.099343859,0.21103557,0.028696268,0.0044894271,0.037873494,-0.011878875,0.020903083,0.11886351,0.24291639,-0.12104835,-0.027919607,9,1
-0.0044517743,-0.15280802,0.02579465,0.0016947315,-0.013526315,-0.034607293,-0.057691748,0.13810144,-0.0010431607,0.026427065,-0.016258059,0.0037149357,0.063450701,0.079811069,0.13434808,-0.026935554,10,1
-0.0067882406,-0.19247754,0.064757338,-0.0048151741,0.12154882,0.097781258,0.011151581,-0.01883479,0.011928126,0.11003808,-0.004917998,0.0044632019,0.077439342,0.21958041,0.010379681,-0.050062374,11,1
0.0030606607,-0.093938898,0.015255751,-0.029646237,0.099704475,-0.015493296,0.079609561,0.24845887,0.004396214,-0.16055397,-0.01168561,0.013324405,0.017242381,0.34192634,0.20471532,-0.011813088,12,1
-0.010497359,-0.15340506,0.04697731,-0.025129765,-0.014594097,-0.1601742,-0.18719731,0.1326136,0.00026778145,0.1633535,-0.015021323,0.010032909,-0.032913742,0.24826745,0.29174481,-0.058738566,13,1
-8.1357226e-05,-0.16069602,0.040146506,-0.057300442,0.14832878,-0.11492257,-0.11049344,0.17007612,-0.0012369587,0.13064977,0.00026817228,0.0011269938,0.04754937,0.31796035,0.32760898,-0.028088432,14,1
-0.0032044306,-0.10217522,0.055373741,0.02736854,0.17029259,-0.098551528,-0.18962739,0.14661908,0.0048692525,0.1893701,-0.0094873149,0.0080176177,-0.0042038321,0.22734753,0.3669877,-0.024543537,15,1
0.004596228,-0.15493418,0.048422101,-0.0053942039,0.23362472,-0.012995219,-0.14933131,-0.031557379,0.001865148,0.063809211,4.8714385e-05,-0.0028292623,0.078795373,0.1970871,0.26992751,-0.037058142,16,1
-0.0088639046,-0.12322686,0.036624523,0.011068179,0.15362176,0.038840789,-0.018150563,-0.1325228,0.0051518062,0.16206234,-0.017085096,0.002441053,0.034886436,0.19725376,0.28943904,-0.051758001,17,1
0.0031404121,-0.12032605,0.034649673,-0.060800542,0.082928246,0.061384374,-0.094528159,0.25531444,0.0012278654,-0.11970347,-0.019258676,0.027239135,0.029292139,0.35484533,0.20137176,-0.015818507,18,1
-0.0087597741,-0.16552655,0.05577947,0.00036280121,-0.037431266,0.058915794,0.11743737,-0.048687153,0.0050131138,0.19720169,-0.02086695,0.0045674572,0.03798641,0.1942118,0.29936652,-0.046010274,19,1
-0.0059718126,-0.1249416,0.036507208,0.0092153782,-0.066035786,0.071987507,0.047499445,-0.0052451319,0.00062685649,0.13003634,-0.018379756,0.0058059594,0.044165612,0.15056502,0.23144481,-0.027049259,20,1
-0.0039997233,-0.13784513,0.02228399,-0.022148203,0.24031282,0.0017233633,0.1761329,0.14224616,0.0040879661,-0.0049853107,-0.00951004,0.0014899299,0.025729485,0.18647327,0.0017732495,-0.035514566,21,1
-0.0031869931,-0.1337848,0.048507708,-0.014862995,0.040723629,0.04190558,0.014188667,0.079301256,0.0021131264,0.088223083,-0.024748897,0.012612063,0.02985266,0.1519399,0.099644764,-0.027157671,22,1
0.0011669186,-0.14028733,0.004015702,-0.026500923,0.085297325,0.03650503,0.12470095,0.10282055,0.00066808481,0.0074626455,-0.0036325094,-0.0080136232,0.11579979,0.20623558,-0.014834413,-0.019649058,23,1
-0.0082199686,-0.10496016,0.057116571,-0.0086422913,0.058672451,0.0035536086,0.025235677,0.10766485,0.0028776696,0.10902442,-0.021067125,0.019415075,0.0085060441,0.29836595,0.13248166,-0.041627444,24,1
0.0030230879,-0.14367499,0.0198313,-0.025055803,0.051879914,0.08731727,0.074851215,0.071431965,0.0028323991,0.044363805,-0.0095907332,0.008134352,0.13269041,0.040092513,0.032410768,-0.01795526,25,1
