"","x"
"lp__",2699.70391395
"alpha0",0.1441326759005
"alpha1",1.94661899505
"alpha21",0.33567441764325
"alpha22",0.309516532669
"rho2",20.8627529064625
"sigma1",0.17399223266775
"sigma",0.009211722183575
