"cv_fold","n_observations","coverage_95","mean_abs_residual","rmse"
0,252,100,0.0542153069694671,0.0601859005841537
1,252,100,0.038439073653988,0.0466332034099495
2,252,100,0.041550835344413,0.0499360867970925
3,252,97.2222222222222,0.0598628642411786,0.0705446545147004
4,189,85.1851851851852,0.061753257868884,0.0760492089809428
5,189,100,0.0330703128777305,0.038662695084148
