,adm1_name,Datetime,adm1_code,fcs,pewi_cubic_intp,food_inflation_cubic_intp,headline_inflation_cubic_intp,Explosions/Remote violence_cubic_intp,rainfall_value_cubic_intp,rainfall_1_month_anomaly_cubic_intp,rainfall_3_months_anomaly_cubic_intp,ndvi_value_cubic_intp,ndvi_anomaly_cubic_intp,Violence against civilians_cubic_intp,Battles_cubic_intp,currency_exchange_cubic_intp,rcsi_cubic_intp,fcs_cubic_intp,year_week,day_of_week,day_of_week_num,Ramadan,Ramadan_past90days,cv_ind,Area,Lat,Lon,Waterways,population,Easting,Northing,MPI,MPI_incidence,MPI_intensity,Muslim,rainfall_1_month_anomaly_asinh,ndvi_anomaly_asinh,rainfall_value_log,currency_exchange_log,Area_log
0,Barh El Gazal,2022-10-05,900172.0,0.3664779281616211,0.6368736444821569,17.470911115373866,5.708237030384212,,3.804539008789604,1.7467353374376813,1.6587929162453556,0.21945424800826274,1.1727341577050479,,0.0,663.59,0.3116647720336914,0.3664779281616211,2022-W40,Wednesday,2.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,1.3242769008657487,0.998400252966452,1.5695610979216241,6.499170309162694,10.828176116084617
1,Barh El Gazal,2022-10-12,900172.0,0.3650914764404297,0.6134084795049813,18.450579291971074,6.41230965012644,,2.5920206066696623,1.669886817495198,1.6236055920045593,0.21013738773173976,1.1651288981802301,,0.0,672.7478595620031,0.3099507795061384,0.3650914764404297,2022-W41,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,1.2854512407520282,0.9934563470201159,1.2787148872469003,6.512855945315753,10.828176116084617
2,Barh El Gazal,2022-10-19,900172.0,0.3551112965175084,0.533840031941139,20.028167225961315,7.652696847238839,,1.0636352716680006,1.3793661846465781,1.5910527615439336,0.19582646873765233,1.150559103739411,,0.0,670.5684477086307,0.28711329596383234,0.3551112965175084,2022-W42,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,1.1259300784076856,0.983932975005339,0.7244691225411816,6.509615943320467,10.828176116084617
3,Barh El Gazal,2022-10-26,900172.0,0.35964326586042134,0.4266338890752812,21.1798521515528,8.63340820489964,,0.3554438095921518,1.1131010791868916,1.5873841601933916,0.1849331347218315,1.1362981103728351,,0.0,666.2870459893918,0.28569020680018836,0.35964326586042134,2022-W43,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.9591310093073898,0.9745446801105794,0.3041289354582217,6.503220307147167,10.828176116084617
4,Barh El Gazal,2022-11-02,900172.0,0.384076783316476,0.3252197258966632,21.60743767213088,9.00928104601162,,0.4430741178336773,1.0204472772126536,1.599236389738,0.1771921375828321,1.1238112390538844,,0.0,660.0929067289973,0.2863095419747489,0.384076783316476,2022-W44,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.8957583403751016,0.9662696283490627,0.36677564218276565,6.49389438478416,10.828176116084617
5,Barh El Gazal,2022-11-09,900172.0,0.4011275427682059,0.25924172088629927,21.08159681254602,8.502109880038947,,0.23258768427775614,0.981786812162601,1.6350048941459392,0.17140097913429742,1.1128521790589923,,0.0,660.2297558735269,0.29004437582833426,0.4011275427682059,2022-W45,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.8684361012300521,0.9589646582660832,0.2091157678343624,6.494101367767797,10.828176116084617
6,Barh El Gazal,2022-11-16,900172.0,0.42411587851388116,0.23509154492617,19.79603475273637,7.244975420498365,,-0.02419441441063829,0.9786180822025106,1.6864239568194566,0.16738284979355122,1.1036915278387371,,0.0,639.6242394533084,0.3148463003976004,0.42411587851388116,2022-W46,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.8661731824079193,0.9528278404852611,-0.02449190750388918,6.462443075131232,10.828176116084617
7,Barh El Gazal,2022-11-23,900172.0,0.45277276175362724,0.2446199880428197,18.208998470506423,5.6281548860638235,,-0.003873121756615511,1.0013146686374361,1.722462739143119,0.16481637828291348,1.0963113964218618,,0.0,636.0355281043461,0.31928709847586495,0.45277276175362724,2022-W47,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.8823028926624237,0.9478634272023249,-0.0038806417161121385,6.456825428121,10.828176116084617
8,Barh El Gazal,2022-11-30,900172.0,0.47695511954171316,0.2790180906777005,16.790737747556584,4.053595028311146,,0.007361714540255769,1.0023377051781748,1.7175191203169746,0.16283944580241624,1.0900154435089775,,0.0,631.8574985789857,0.30996939522879463,0.47695511954171316,2022-W48,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.8830256285193052,0.9436138688568225,0.007334749378780458,6.4502452760724,10.828176116084617
9,Barh El Gazal,2022-12-07,900172.0,0.5025349753243582,0.32945388049761676,15.987674070266715,2.904881049227288,,-0.002828958648071758,0.9981017580836334,1.696934096307422,0.16125631449163572,1.0841862600736358,,0.0,623.9572475886031,0.3037704140799386,0.5025349753243582,2022-W49,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.8800306901033454,0.9396674643558172,-0.002832967714361678,6.437683243538515,10.828176116084617
10,Barh El Gazal,2022-12-14,900172.0,0.5127085767473493,0.3867783202742284,15.917927967266907,2.312616800908157,,0.00015549152858096506,1.0000859925587648,1.5669381937193434,0.15975425608431176,1.0780172666793215,,0.0,621.0375017110356,0.3003905160086496,0.5127085767473493,2022-W50,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.8814343916337818,0.9354785001554301,0.00015547944102633717,6.43300038306161,10.828176116084617
11,Barh El Gazal,2022-12-21,900172.0,0.5221620777675083,0.44147161140987323,16.315719653689534,2.1115811698512545,,0.0003808330805894545,1.0002139890677886,1.275040538677766,0.15807009074709483,1.071653929681937,,0.0,618.6754160640141,0.287546204158238,0.5221620777675083,2022-W51,Wednesday,3.0,0.0,0.0,2,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425,0.8815248920459264,0.9311440488226845,0.00038076058207778355,6.429195818476002,10.828176116084617
