"cv_fold","n_observations","coverage_95","mean_abs_residual","rmse"
0,252,96.8253968253968,0.0648174228692047,0.073762989875616
1,252,100,0.0302225451237109,0.038885353524411
2,252,100,0.0424592618917828,0.0511945921575994
3,252,88.4920634920635,0.069936699226525,0.0823216071554034
4,189,94.7089947089947,0.0473334940675465,0.0621513130572019
5,189,100,0.0396072318136615,0.0455518058013139
