"","x"
"lp__",2754.644723675
"alpha0",0.111673443881
"alpha1",1.5574162642
"alpha21",0.36040872682875
"alpha22",0.384643609717
"rho2",19.42762962984
"sigma1",0.15598781868125
"sigma",0.0073767625979
"beta[1]",0.105713596953855
"beta[2]",-0.0376535529972728
"beta[3]",-0.009959151649526
"beta[4]",-0.0137116500274488
"beta[5]",-0.01200091460512
"beta[6]",-0.050374901688485
"beta[7]",0.0455620345193693
"beta_sd",0.07668680479825
