"cv_fold","rMSE","MAE","converged","max_rhat"
0,0.0601859005841537,0.0542153069694671,TRUE,1.00193800877256
1,0.0466332034099495,0.038439073653988,TRUE,1.00292185552019
2,0.0499360867970925,0.041550835344413,TRUE,1.00419888426356
3,0.0705446545147004,0.0598628642411786,FALSE,1.00707443491674
4,0.0760492089809428,0.061753257868884,TRUE,1.00378613868239
5,0.038662695084148,0.0330703128777305,TRUE,1.00432360661603
