"","x"
"lp__",2746.643171775
"alpha0",0.10202112825025
"alpha1",1.44314373199
"alpha21",0.4034883167495
"alpha22",0.4579206809555
"rho2",18.027257821535
"sigma1",0.1562036619785
"sigma",0.0073287472325
"beta[1]",0.2170066648763
"beta[2]",-0.0431959172750518
"beta[3]",0.0097701141283828
"beta[4]",0.00466443960347818
"beta[5]",-0.034432958057204
"kappa",5.66489141661
