"cv_fold","rMSE","MAE","converged","max_rhat"
0,0.0539417083147009,0.0469181457610337,TRUE,1.00463758690021
1,0.0519849885886177,0.0434712646707766,TRUE,1.00819011366197
2,0.0505506207672294,0.0419937063647633,TRUE,1.00475388338323
3,0.0533123836919226,0.04300956601697,TRUE,1.00297986688446
4,0.0821357403990591,0.0668600733507951,TRUE,1.00419141273381
5,0.0356992980506126,0.0304408925613414,TRUE,1.00444126658752
