"","adm1_code","adm1_name","Datetime","fcs","rcsi","data_type","pewi_6","pewi_6_cubic_intp","pewi_8","pewi_8_cubic_intp","rainfall_value","rainfall_value_cubic_intp","rainfall_1_month_anomaly","rainfall_1_month_anomaly_cubic_intp","rainfall_3_months_anomaly","rainfall_3_months_anomaly_cubic_intp","ndvi_value","ndvi_value_cubic_intp","ndvi_anomaly","ndvi_anomaly_cubic_intp","n_conflicts_Battles_anomaly_30days_lagged14days","n_fatalities_Battles_anomaly_30days_lagged14days","n_conflicts_Battles_rolsum_90days","n_fatalities_Battles_rolsum_90days","n_conflicts_Violence_against_civilians_anomaly_30days_lagged14days","n_fatalities_Violence_against_civilians_anomaly_30days_lagged14days","n_conflicts_Violence_against_civilians_rolsum_90days","n_fatalities_Violence_against_civilians_rolsum_90days","n_conflicts_Explosions.Remote_violence_anomaly_30days_lagged14days","n_fatalities_Explosions.Remote_violence_anomaly_30days_lagged14days","n_conflicts_Explosions.Remote_violence_rolsum_90days","n_fatalities_Explosions.Remote_violence_rolsum_90days","food_inflation","food_inflation_cubic_intp","headline_inflation","headline_inflation_cubic_intp","currency_exchange","currency_exchange_cubic_intp","Ramadan","Ramadan_past90days","day_num","day_of_week","Area","Lat","Lon","Waterways","population","Easting","Northing","Longitude","Latitude","MPI","MPI_incidence","MPI_intensity","Muslim","Christian","region_cat","cv_ind","Ramadan_past90days_Muslimpop","food_inflation_MPI","log_food_inflation","log_food_inflation_MPI","log_fatalities_battles","log_fatalities_violenceagainstcivilians","log_fatalities_explosions"
"1",65698,"Abia","2022-10-05",0.177457157951481,0.124787921230966,"SURVEY 90 days",NA,-0.790125604209843,NA,-0.119470767258183,NA,96.7155123708748,NA,NA,NA,0.765604916514432,NA,0.797978849771255,NA,0.988993347746649,-1,-3,5,3,-4,-42,6,42,0,0,0,0,NA,23.5475946913299,NA,20.9513535573314,431.87,431.87,0,0,1,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.37830706382432,3.1590236789969,0.319061391578687,1.38629436111989,3.76120011569356,0
"2",65698,"Abia","2022-10-12",0.194974755593218,0.127246882825762,"SURVEY 90 days",NA,-0.701138053238353,NA,-0.0165355643589816,NA,127.574901515472,NA,NA,NA,0.8380588982913,NA,0.792595904258289,NA,0.989012021512337,-1,-3,5,3,-3,-42,6,42,0,0,0,0,NA,23.6639086127809,NA,21.0449815933777,434.27,434.27,0,0,2,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.39005476989087,3.16395104409405,0.319559055453499,1.38629436111989,3.76120011569356,0
"3",65698,"Abia","2022-10-19",0.201687264828878,0.125282170039144,"SURVEY 90 days",NA,-0.612914713517363,NA,0.0874984994854307,NA,92.884918956897,NA,NA,NA,0.778820490086735,NA,0.78366589076318,NA,0.988444379951461,-2,-3,6,4,-2,-42,6,42,0,0,0,0,NA,23.799551027797,NA,21.1540733904655,435.98,435.98,0,0,3,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.4037546538075,3.16966671612122,0.320136338328243,1.6094379124341,3.76120011569356,0
"4",65698,"Abia","2022-10-26",0.204178399383696,0.128280123128241,"SURVEY 90 days",NA,-0.526384334004986,NA,0.192328741768808,NA,45.0732700070572,NA,NA,NA,0.78272153784738,NA,0.772778135182236,NA,0.987870667397618,-1,-3,6,4,-3,-42,5,42,0,0,0,0,NA,23.9393421236097,NA,21.2688481948402,436.55,436.55,0,0,4,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.41787355448458,3.17552321953544,0.320727845173079,1.6094379124341,3.76120011569356,0
"5",65698,"Abia","2022-11-02",0.21422788563657,0.120234939306334,"SURVEY 90 days",NA,-0.442475663659337,NA,0.297652479984903,NA,19.9760704793346,NA,NA,NA,0.81551034293213,NA,0.759621134677327,NA,0.987650291796592,1,1,5,4,-1,0,5,42,0,0,0,0,NA,24.0574442583455,NA,21.3716762186163,438.37,438.37,0,0,5,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.42980187009289,3.18044448122798,0.321224892604026,1.6094379124341,3.76120011569356,0
"6",65698,"Abia","2022-11-09",0.215440263096912,0.112240896042382,"SURVEY 90 days",NA,-0.362117451438532,NA,0.403167031627471,NA,18.4196822387295,NA,NA,NA,0.769825005887255,NA,0.743307667457431,NA,0.987961969501796,-1,1,7,7,-1,0,6,43,0,0,0,0,NA,24.1276971876802,NA,21.4446900910365,439.79,439.79,0,0,6,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.4368974159557,3.18336044150144,0.321519404591646,2.07944154167984,3.78418963391826,0
"7",65698,"Abia","2022-11-16",0.222095831511111,0.11572849918725,"SURVEY 90 days",NA,-0.286238446300685,NA,0.508569714190265,NA,13.8395071827176,NA,NA,NA,0.755036596318573,NA,0.724812902525966,NA,0.989025037992004,-1,1,6,4,0,0,5,43,0,0,0,0,NA,24.1239777300093,NA,21.4700469869631,441.19,441.19,0,0,7,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.43652175073093,3.18320627244162,0.321503833516604,1.6094379124341,3.78418963391826,0
"8",65698,"Abia","2022-11-23",0.222319007580604,0.115364468398419,"SURVEY 90 days",NA,-0.21576739720391,NA,0.613557845167039,NA,7.93059768984058,NA,NA,NA,0.788365205509863,NA,0.704698811216039,NA,0.991003106416534,3,4,6,4,2,1,3,1,0,0,0,0,NA,24.0389905651588,NA,21.4423732559891,442.8,442.8,0,0,8,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.42793804708104,3.17967711898337,0.32114738901732,1.6094379124341,0.693147180559945,0
"9",65698,"Abia","2022-11-30",0.228394860398765,0.119231282061559,"SURVEY 90 days",NA,-0.151633053106322,NA,0.717828742051548,NA,9.18251194030675,NA,NA,NA,0.837456479889628,NA,0.683462153830326,NA,0.994044873611529,1,2,6,4,2,1,5,1,0,0,0,0,NA,23.914844977852,NA,21.389014558566,443.44,443.44,0,0,9,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.41539934276305,3.17449939489724,0.320624438884622,1.6094379124341,0.693147180559945,0
"10",65698,"Abia","2022-12-07",0.235278068309687,0.11422239468113,"SURVEY 90 days",NA,-0.0947641629660358,NA,0.821079722337545,NA,7.22722758215251,NA,NA,NA,0.900360504007244,NA,0.662080128128868,NA,0.998290598710163,2,2,5,4,2,1,4,1,0,0,0,0,NA,23.8016558001919,NA,21.3426184089674,444.31,444.31,0,0,10,"Wed",0.396542904800929,5.45330211891958,7.52318998196719,0.897616940721119,3802539,1459763.79335693,-4916261.16881343,7.52318998196719,5.45330211891958,0.101,29.8,33.9,0.001,91.3,"s",2,0,2.40396723581938,3.16975514969408,0.320145270119102,1.6094379124341,0.693147180559945,0
