adm1_code,adm1_name,Datetime,fcs,rcsi,data_type,pewi_6,pewi_6_cubic_intp,pewi_8,pewi_8_cubic_intp,rainfall_value,rainfall_value_cubic_intp,rainfall_1_month_anomaly,rainfall_1_month_anomaly_cubic_intp,rainfall_3_months_anomaly,rainfall_3_months_anomaly_cubic_intp,ndvi_value,ndvi_value_cubic_intp,ndvi_anomaly,ndvi_anomaly_cubic_intp,n_conflicts_Battles_anomaly_30days_lagged14days,n_fatalities_Battles_anomaly_30days_lagged14days,n_conflicts_Battles_rolsum_90days,n_fatalities_Battles_rolsum_90days,n_conflicts_Violence_against_civilians_anomaly_30days_lagged14days,n_fatalities_Violence_against_civilians_anomaly_30days_lagged14days,n_conflicts_Violence_against_civilians_rolsum_90days,n_fatalities_Violence_against_civilians_rolsum_90days,n_conflicts_Explosions.Remote_violence_anomaly_30days_lagged14days,n_fatalities_Explosions.Remote_violence_anomaly_30days_lagged14days,n_conflicts_Explosions.Remote_violence_rolsum_90days,n_fatalities_Explosions.Remote_violence_rolsum_90days,food_inflation,food_inflation_cubic_intp,headline_inflation,headline_inflation_cubic_intp,currency_exchange,currency_exchange_cubic_intp,Ramadan,Ramadan_past90days,day_num,day_of_week,Area,Lat,Lon,Waterways,population,Easting,Northing,Longitude,Latitude,MPI,MPI_incidence,MPI_intensity,Muslim,Christian,region_cat,cv_ind,Ramadan_past90days_Muslimpop,food_inflation_MPI,log_food_inflation,log_food_inflation_MPI,log_fatalities_battles,log_fatalities_violenceagainstcivilians,log_fatalities_explosions
65698,Abia,2022-10-05,0.1774571579514814,0.1247879212309664,SURVEY 90 days,NA,-0.7901256042098431,NA,-0.11947076725818312,NA,96.71551237087483,NA,NA,NA,0.7656049165144317,NA,0.7979788497712553,NA,0.9889933477466488,-1,-3,5,3,-4,-42,6,42,0,0,0,0,NA,23.5475946913299,NA,20.95135355733143,431.87,431.87,0,0,1,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.37830706382432,3.1590236789969035,0.3190613915786873,1.3862943611198906,3.7612001156935624,0
65698,Abia,2022-10-12,0.1949747555932176,0.1272468828257623,SURVEY 90 days,NA,-0.701138053238353,NA,-0.01653556435898157,NA,127.57490151547208,NA,NA,NA,0.8380588982913002,NA,0.7925959042582893,NA,0.9890120215123374,-1,-3,5,3,-3,-42,6,42,0,0,0,0,NA,23.663908612780887,NA,21.044981593377734,434.27,434.27,0,0,2,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.39005476989087,3.1639510440940537,0.31955905545349944,1.3862943611198906,3.7612001156935624,0
65698,Abia,2022-10-19,0.201687264828878,0.1252821700391436,SURVEY 90 days,NA,-0.6129147135173627,NA,0.08749849948543073,NA,92.884918956897,NA,NA,NA,0.7788204900867346,NA,0.7836658907631803,NA,0.9884443799514608,-2,-3,6,4,-2,-42,6,42,0,0,0,0,NA,23.799551027797,NA,21.154073390465538,435.98,435.98,0,0,3,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.403754653807497,3.1696667161212173,0.32013633832824295,1.6094379124341003,3.7612001156935624,0
65698,Abia,2022-10-26,0.2041783993836959,0.128280123128241,SURVEY 90 days,NA,-0.5263843340049856,NA,0.1923287417688076,NA,45.07327000705723,NA,NA,NA,0.7827215378473803,NA,0.7727781351822358,NA,0.9878706673976176,-1,-3,6,4,-3,-42,5,42,0,0,0,0,NA,23.939342123609723,NA,21.26884819484024,436.55,436.55,0,0,4,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.4178735544845824,3.1755232195354353,0.320727845173079,1.6094379124341003,3.7612001156935624,0
65698,Abia,2022-11-02,0.2142278856365701,0.1202349393063336,SURVEY 90 days,NA,-0.4424756636593373,NA,0.2976524799849027,NA,19.976070479334627,NA,NA,NA,0.8155103429321295,NA,0.7596211346773273,NA,0.9876502917965916,1,1,5,4,-1,0,5,42,0,0,0,0,NA,24.057444258345484,NA,21.37167621861629,438.37,438.37,0,0,5,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.429801870092894,3.1804444812279846,0.3212248926040265,1.6094379124341003,3.7612001156935624,0
65698,Abia,2022-11-09,0.215440263096912,0.1122408960423817,SURVEY 90 days,NA,-0.362117451438532,NA,0.4031670316274707,NA,18.41968223872954,NA,NA,NA,0.7698250058872554,NA,0.743307667457431,NA,0.9879619695017956,-1,1,7,7,-1,0,6,43,0,0,0,0,NA,24.127697187680237,NA,21.44469009103646,439.79,439.79,0,0,6,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.436897415955704,3.1833604415014425,0.3215194045916457,2.0794415416798357,3.784189633918261,0
65698,Abia,2022-11-16,0.2220958315111114,0.1157284991872504,SURVEY 90 days,NA,-0.2862384463006847,NA,0.5085697141902649,NA,13.839507182717576,NA,NA,NA,0.7550365963185727,NA,0.7248129025259655,NA,0.9890250379920038,-1,1,6,4,0,0,5,43,0,0,0,0,NA,24.12397773000925,NA,21.47004698696307,441.19,441.19,0,0,7,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.4365217507309347,3.183206272441624,0.32150383351660405,1.6094379124341003,3.784189633918261,0
65698,Abia,2022-11-23,0.222319007580604,0.1153644683984193,SURVEY 90 days,NA,-0.21576739720390967,NA,0.6135578451670394,NA,7.930597689840579,NA,NA,NA,0.788365205509863,NA,0.7046988112160391,NA,0.9910031064165344,3,4,6,4,2,1,3,1,0,0,0,0,NA,24.038990565158848,NA,21.442373255989125,442.8,442.8,0,0,8,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.4279380470810437,3.1796771189833657,0.32114738901731993,1.6094379124341003,0.6931471805599453,0
65698,Abia,2022-11-30,0.2283948603987647,0.1192312820615585,SURVEY 90 days,NA,-0.15163305310632189,NA,0.7178287420515481,NA,9.182511940306751,NA,NA,NA,0.8374564798896285,NA,0.6834621538303265,NA,0.9940448736115292,1,2,6,4,2,1,5,1,0,0,0,0,NA,23.914844977852017,NA,21.389014558565965,443.44,443.44,0,0,9,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.415399342763054,3.1744993948972433,0.3206244388846216,1.6094379124341003,0.6931471805599453,0
65698,Abia,2022-12-07,0.2352780683096866,0.1142223946811301,SURVEY 90 days,NA,-0.09476416296603583,NA,0.8210797223375454,NA,7.227227582152511,NA,NA,NA,0.900360504007244,NA,0.662080128128868,NA,0.998290598710163,2,2,5,4,2,1,4,1,0,0,0,0,NA,23.80165580019186,NA,21.342618408967404,444.31,444.31,0,0,10,Wed,0.3965429048009287,5.453302118919583,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.001,91.3,s,2,0,2.403967235819378,3.1697551496940815,0.32014527011910227,1.6094379124341003,0.6931471805599453,0
